BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID,ARCHIVE_DATE
015,100000000140,BRL,4285,P,15615.200,OFF,100000000140,TRN000000000140,2026-05-20,2026-05-20,TD_DEPOSITER,Td Depositer Name 140,TD_CERT_COLL,Td Cert Collector Name 140,TD_WITHDRAWE,Td Withdrawer Name 140,2026-05-20,E,J,JOINT_HOLDER,2026-05-20,PAY,100000000140,BRL,RA,RO,100000000140,INT,BRL,A,G,G,ADVICE_MEDIA_14,EMAIL_140,CU,D,A,A,REASON_CODE_140,8626,3331,2026-05-20,7166.000,11887.500,6855.8000,2692.4000,XREF_140,18206.6000,19570.800,22119.8000,A,811842,2.47000,2026-05-20,816764,43083,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-05-20,015,MAI,MAI,MAI,CMA,2.8500,COMME,015,775331,216129,BAE,AUTHORIZE,VAL,M,DESTI,CUST000140,CUST000140,OPERATION_KEY_1,D,D,B,3.12000,2.39000,A,RATE_CODE_,2.75000,M,RETN_,RETN_,445116.00000,988836.00000,22779.9000,NAT,TXN0000000000000140,2026-05-20
016,100000000141,USD,7398,P,8035.400,OFF,100000000141,TRN000000000141,2026-05-21,2026-05-21,TD_DEPOSITER,Td Depositer Name 141,TD_CERT_COLL,Td Cert Collector Name 141,TD_WITHDRAWE,Td Withdrawer Name 141,2026-05-21,E,J,JOINT_HOLDER,2026-05-21,PAY,100000000141,USD,RA,RO,100000000141,INT,USD,A,G,G,ADVICE_MEDIA_14,EMAIL_141,CU,D,A,A,REASON_CODE_141,4582,4845,2026-05-21,19612.800,20826.300,11578.3000,8066.1000,XREF_141,5752.5000,9429.300,17410.4000,A,144862,3.48000,2026-05-21,227528,653357,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-05-21,016,MAI,MAI,MAI,CMA,1.4800,COMME,016,432008,679333,BAE,AUTHORIZE,VAL,M,DESTI,CUST000141,CUST000141,OPERATION_KEY_1,D,D,B,2.54000,2.48000,A,RATE_CODE_,1.78000,M,RETN_,RETN_,146266.00000,22513.00000,4760.6000,NAT,TXN0000000000000141,2026-05-21
017,100000000142,PEN,7538,P,17996.000,OFF,100000000142,TRN000000000142,2026-05-22,2026-05-22,TD_DEPOSITER,Td Depositer Name 142,TD_CERT_COLL,Td Cert Collector Name 142,TD_WITHDRAWE,Td Withdrawer Name 142,2026-05-22,E,J,JOINT_HOLDER,2026-05-22,PAY,100000000142,PEN,RA,RO,100000000142,INT,PEN,A,G,G,ADVICE_MEDIA_14,EMAIL_142,CU,D,A,A,REASON_CODE_142,2207,8874,2026-05-22,13766.700,18789.600,4846.1000,16909.3000,XREF_142,8781.1000,2100.200,6224.0000,A,207616,1.32000,2026-05-22,638909,404672,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-05-22,017,MAI,MAI,MAI,CMA,3.0100,COMME,017,777653,229543,BAE,AUTHORIZE,VAL,M,DESTI,CUST000142,CUST000142,OPERATION_KEY_1,D,D,B,2.27000,1.35000,A,RATE_CODE_,2.45000,M,RETN_,RETN_,449416.00000,135241.00000,15441.6000,NAT,TXN0000000000000142,2026-05-22
018,100000000143,EUR,5368,P,17680.200,OFF,100000000143,TRN000000000143,2026-05-23,2026-05-23,TD_DEPOSITER,Td Depositer Name 143,TD_CERT_COLL,Td Cert Collector Name 143,TD_WITHDRAWE,Td Withdrawer Name 143,2026-05-23,E,J,JOINT_HOLDER,2026-05-23,PAY,100000000143,EUR,RA,RO,100000000143,INT,EUR,A,G,G,ADVICE_MEDIA_14,EMAIL_143,CU,D,A,A,REASON_CODE_143,5104,5504,2026-05-23,3503.800,8264.800,6754.9000,6560.3000,XREF_143,13131.3000,171.700,270.2000,A,33021,2.45000,2026-05-23,493151,631033,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-05-23,018,MAI,MAI,MAI,CMA,2.7000,COMME,018,419757,875505,BAE,AUTHORIZE,VAL,M,DESTI,CUST000143,CUST000143,OPERATION_KEY_1,D,D,B,4.38000,3.85000,A,RATE_CODE_,3.15000,M,RETN_,RETN_,653515.00000,274424.00000,14158.7000,NAT,TXN0000000000000143,2026-05-23
019,100000000144,BRL,5597,P,18564.900,OFF,100000000144,TRN000000000144,2026-05-24,2026-05-24,TD_DEPOSITER,Td Depositer Name 144,TD_CERT_COLL,Td Cert Collector Name 144,TD_WITHDRAWE,Td Withdrawer Name 144,2026-05-24,E,J,JOINT_HOLDER,2026-05-24,PAY,100000000144,BRL,RA,RO,100000000144,INT,BRL,A,G,G,ADVICE_MEDIA_14,EMAIL_144,CU,D,A,A,REASON_CODE_144,7802,2790,2026-05-24,20389.500,17158.500,11062.2000,11851.0000,XREF_144,12862.6000,15078.400,2341.9000,A,772481,4.40000,2026-05-24,430389,548874,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-05-24,019,MAI,MAI,MAI,CMA,0.9700,COMME,019,788970,485111,BAE,AUTHORIZE,VAL,M,DESTI,CUST000144,CUST000144,OPERATION_KEY_1,D,D,B,2.79000,2.28000,A,RATE_CODE_,4.32000,M,RETN_,RETN_,173787.00000,178649.00000,16207.5000,NAT,TXN0000000000000144,2026-05-24
020,100000000145,USD,5977,P,18138.300,OFF,100000000145,TRN000000000145,2026-05-25,2026-05-25,TD_DEPOSITER,Td Depositer Name 145,TD_CERT_COLL,Td Cert Collector Name 145,TD_WITHDRAWE,Td Withdrawer Name 145,2026-05-25,E,J,JOINT_HOLDER,2026-05-25,PAY,100000000145,USD,RA,RO,100000000145,INT,USD,A,G,G,ADVICE_MEDIA_14,EMAIL_145,CU,D,A,A,REASON_CODE_145,3562,4642,2026-05-25,20036.800,7463.800,3507.2000,20521.5000,XREF_145,9828.2000,14485.400,12881.7000,A,438909,3.34000,2026-05-25,470734,54489,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-05-25,020,MAI,MAI,MAI,CMA,1.8300,COMME,020,628113,49607,BAE,AUTHORIZE,VAL,M,DESTI,CUST000145,CUST000145,OPERATION_KEY_1,D,D,B,1.50000,1.20000,A,RATE_CODE_,1.32000,M,RETN_,RETN_,974557.00000,471790.00000,21397.9000,NAT,TXN0000000000000145,2026-05-25
021,100000000146,PEN,8357,P,21074.200,OFF,100000000146,TRN000000000146,2026-05-26,2026-05-26,TD_DEPOSITER,Td Depositer Name 146,TD_CERT_COLL,Td Cert Collector Name 146,TD_WITHDRAWE,Td Withdrawer Name 146,2026-05-26,E,J,JOINT_HOLDER,2026-05-26,PAY,100000000146,PEN,RA,RO,100000000146,INT,PEN,A,G,G,ADVICE_MEDIA_14,EMAIL_146,CU,D,A,A,REASON_CODE_146,223,5197,2026-05-26,6565.600,8795.100,15594.9000,21281.9000,XREF_146,10058.7000,2326.300,12042.0000,A,900941,1.32000,2026-05-26,682687,426517,DOCUME,D,021,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-05-26,021,MAI,MAI,MAI,CMA,2.4800,COMME,021,426575,400866,BAE,AUTHORIZE,VAL,M,DESTI,CUST000146,CUST000146,OPERATION_KEY_1,D,D,B,2.82000,3.94000,A,RATE_CODE_,4.29000,M,RETN_,RETN_,146150.00000,409923.00000,12962.0000,NAT,TXN0000000000000146,2026-05-26
022,100000000147,EUR,9223,P,13081.400,OFF,100000000147,TRN000000000147,2026-05-27,2026-05-27,TD_DEPOSITER,Td Depositer Name 147,TD_CERT_COLL,Td Cert Collector Name 147,TD_WITHDRAWE,Td Withdrawer Name 147,2026-05-27,E,J,JOINT_HOLDER,2026-05-27,PAY,100000000147,EUR,RA,RO,100000000147,INT,EUR,A,G,G,ADVICE_MEDIA_14,EMAIL_147,CU,D,A,A,REASON_CODE_147,8752,1903,2026-05-27,7112.900,13255.400,16365.3000,7538.3000,XREF_147,22838.4000,15058.600,16867.5000,A,610124,2.59000,2026-05-27,19668,727171,DOCUME,D,022,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-05-27,022,MAI,MAI,MAI,CMA,2.9100,COMME,022,2465,807607,BAE,AUTHORIZE,VAL,M,DESTI,CUST000147,CUST000147,OPERATION_KEY_1,D,D,B,3.17000,4.10000,A,RATE_CODE_,1.39000,M,RETN_,RETN_,993673.00000,719867.00000,16757.8000,NAT,TXN0000000000000147,2026-05-27
023,100000000148,BRL,8652,P,5199.300,OFF,100000000148,TRN000000000148,2026-05-28,2026-05-28,TD_DEPOSITER,Td Depositer Name 148,TD_CERT_COLL,Td Cert Collector Name 148,TD_WITHDRAWE,Td Withdrawer Name 148,2026-05-28,E,J,JOINT_HOLDER,2026-05-28,PAY,100000000148,BRL,RA,RO,100000000148,INT,BRL,A,G,G,ADVICE_MEDIA_14,EMAIL_148,CU,D,A,A,REASON_CODE_148,2918,2840,2026-05-28,20000.600,1340.100,13999.8000,2246.1000,XREF_148,2083.4000,24995.200,3439.7000,A,128087,1.79000,2026-05-28,734200,587864,DOCUME,D,023,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-05-28,023,MAI,MAI,MAI,CMA,1.6900,COMME,023,738980,500319,BAE,AUTHORIZE,VAL,M,DESTI,CUST000148,CUST000148,OPERATION_KEY_1,D,D,B,3.32000,1.65000,A,RATE_CODE_,1.05000,M,RETN_,RETN_,561896.00000,43326.00000,5585.1000,NAT,TXN0000000000000148,2026-05-28
024,100000000149,USD,5915,P,86004.000,OFF,100000000149,TRN000000000149,2026-05-29,2026-05-29,TD_DEPOSITER,Td Depositer Name 149,TD_CERT_COLL,Td Cert Collector Name 149,TD_WITHDRAWE,Td Withdrawer Name 149,2026-05-29,E,J,JOINT_HOLDER,2026-05-29,PAY,100000000149,USD,RA,RO,100000000149,INT,USD,A,G,G,ADVICE_MEDIA_14,EMAIL_149,CU,D,A,A,REASON_CODE_149,4957,3488,2026-05-29,124377.600,173439.200,53702.4000,15729.6000,XREF_149,123200.8000,105072.800,155408.8000,A,973066,4.22000,2026-05-29,590713,925540,DOCUME,D,024,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-05-29,024,MAI,MAI,MAI,CMA,3.2000,COMME,024,875074,870566,BAE,AUTHORIZE,VAL,M,DESTI,CUST000149,CUST000149,OPERATION_KEY_1,D,D,B,4.02000,2.89000,A,RATE_CODE_,3.14000,M,RETN_,RETN_,385154.00000,593676.00000,20177.6000,NAT,TXN0000000000000149,2026-05-29
025,100000000150,PEN,2810,P,14794.200,OFF,100000000150,TRN000000000150,2026-05-30,2026-05-30,TD_DEPOSITER,Td Depositer Name 150,TD_CERT_COLL,Td Cert Collector Name 150,TD_WITHDRAWE,Td Withdrawer Name 150,2026-05-30,E,J,JOINT_HOLDER,2026-05-30,PAY,100000000150,PEN,RA,RO,100000000150,INT,PEN,A,G,G,ADVICE_MEDIA_15,EMAIL_150,CU,D,A,A,REASON_CODE_150,3594,22,2026-05-30,7145.500,11204.700,18361.8000,9217.9000,XREF_150,8270.0000,17088.500,9421.3000,A,685789,2.97000,2026-05-30,854375,354324,DOCUME,D,025,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-05-30,025,MAI,MAI,MAI,CMA,3.4800,COMME,025,580786,733906,BAE,AUTHORIZE,VAL,M,DESTI,CUST000150,CUST000150,OPERATION_KEY_1,D,D,B,2.97000,1.24000,A,RATE_CODE_,4.33000,M,RETN_,RETN_,963144.00000,691989.00000,12354.7000,NAT,TXN0000000000000150,2026-05-30
001,100000000151,EUR,5727,P,1569.300,OFF,100000000151,TRN000000000151,2026-05-31,2026-05-31,TD_DEPOSITER,Td Depositer Name 151,TD_CERT_COLL,Td Cert Collector Name 151,TD_WITHDRAWE,Td Withdrawer Name 151,2026-05-31,E,J,JOINT_HOLDER,2026-05-31,PAY,100000000151,EUR,RA,RO,100000000151,INT,EUR,A,G,G,ADVICE_MEDIA_15,EMAIL_151,CU,D,A,A,REASON_CODE_151,5526,7318,2026-05-31,4790.000,13029.400,7257.0000,10239.6000,XREF_151,15720.5000,3246.700,22823.3000,A,133063,1.47000,2026-05-31,204755,391917,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-05-31,001,MAI,MAI,MAI,CMA,4.1900,COMME,001,954751,851266,BAE,AUTHORIZE,VAL,M,DESTI,CUST000151,CUST000151,OPERATION_KEY_1,D,D,B,3.17000,3.34000,A,RATE_CODE_,2.74000,M,RETN_,RETN_,970029.00000,493609.00000,5644.7000,NAT,TXN0000000000000151,2026-05-31
002,100000000152,BRL,5964,P,14004.200,OFF,100000000152,TRN000000000152,2026-06-01,2026-06-01,TD_DEPOSITER,Td Depositer Name 152,TD_CERT_COLL,Td Cert Collector Name 152,TD_WITHDRAWE,Td Withdrawer Name 152,2026-06-01,E,J,JOINT_HOLDER,2026-06-01,PAY,100000000152,BRL,RA,RO,100000000152,INT,BRL,A,G,G,ADVICE_MEDIA_15,EMAIL_152,CU,D,A,A,REASON_CODE_152,4537,5126,2026-06-01,12877.300,12233.700,220.0000,15906.4000,XREF_152,19879.2000,6022.900,6207.0000,A,2139,2.94000,2026-06-01,17310,859581,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-06-01,002,MAI,MAI,MAI,CMA,2.9700,COMME,002,743443,973733,BAE,AUTHORIZE,VAL,M,DESTI,CUST000152,CUST000152,OPERATION_KEY_1,D,D,B,1.93000,1.50000,A,RATE_CODE_,1.32000,M,RETN_,RETN_,835910.00000,137792.00000,10845.9000,NAT,TXN0000000000000152,2026-06-01
003,100000000153,USD,8086,P,9090.100,OFF,100000000153,TRN000000000153,2026-06-02,2026-06-02,TD_DEPOSITER,Td Depositer Name 153,TD_CERT_COLL,Td Cert Collector Name 153,TD_WITHDRAWE,Td Withdrawer Name 153,2026-06-02,E,J,JOINT_HOLDER,2026-06-02,PAY,100000000153,USD,RA,RO,100000000153,INT,USD,A,G,G,ADVICE_MEDIA_15,EMAIL_153,CU,D,A,A,REASON_CODE_153,9023,108,2026-06-02,1424.900,3197.700,14799.1000,2686.3000,XREF_153,3541.6000,9652.200,20575.4000,A,370033,1.71000,2026-06-02,757194,298298,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-06-02,003,MAI,MAI,MAI,CMA,3.3100,COMME,003,287452,605026,BAE,AUTHORIZE,VAL,M,DESTI,CUST000153,CUST000153,OPERATION_KEY_1,D,D,B,2.28000,2.02000,A,RATE_CODE_,3.80000,M,RETN_,RETN_,793798.00000,568300.00000,10294.5000,NAT,TXN0000000000000153,2026-06-02
004,100000000154,PEN,7920,P,15090.000,OFF,100000000154,TRN000000000154,2026-06-03,2026-06-03,TD_DEPOSITER,Td Depositer Name 154,TD_CERT_COLL,Td Cert Collector Name 154,TD_WITHDRAWE,Td Withdrawer Name 154,2026-06-03,E,J,JOINT_HOLDER,2026-06-03,PAY,100000000154,PEN,RA,RO,100000000154,INT,PEN,A,G,G,ADVICE_MEDIA_15,EMAIL_154,CU,D,A,A,REASON_CODE_154,4001,9073,2026-06-03,14321.400,3816.100,9881.8000,22578.0000,XREF_154,19709.3000,3250.800,24269.0000,A,302934,2.86000,2026-06-03,871835,719349,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-06-03,004,MAI,MAI,MAI,CMA,2.1800,COMME,004,573324,65198,BAE,AUTHORIZE,VAL,M,DESTI,CUST000154,CUST000154,OPERATION_KEY_1,D,D,B,0.88000,2.01000,A,RATE_CODE_,2.24000,M,RETN_,RETN_,643033.00000,764525.00000,9186.2000,NAT,TXN0000000000000154,2026-06-03
005,100000000155,EUR,3378,P,21093.300,OFF,100000000155,TRN000000000155,2026-06-04,2026-06-04,TD_DEPOSITER,Td Depositer Name 155,TD_CERT_COLL,Td Cert Collector Name 155,TD_WITHDRAWE,Td Withdrawer Name 155,2026-06-04,E,J,JOINT_HOLDER,2026-06-04,PAY,100000000155,EUR,RA,RO,100000000155,INT,EUR,A,G,G,ADVICE_MEDIA_15,EMAIL_155,CU,D,A,A,REASON_CODE_155,9947,2376,2026-06-04,18790.100,23952.700,11387.6000,19525.8000,XREF_155,2167.9000,16425.300,5632.3000,A,590969,2.89000,2026-06-04,979188,973221,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-06-04,005,MAI,MAI,MAI,CMA,2.5300,COMME,005,164886,716989,BAE,AUTHORIZE,VAL,M,DESTI,CUST000155,CUST000155,OPERATION_KEY_1,D,D,B,2.73000,0.85000,A,RATE_CODE_,3.87000,M,RETN_,RETN_,331110.00000,302887.00000,22989.6000,NAT,TXN0000000000000155,2026-06-04
006,100000000156,BRL,854,P,5384.300,OFF,100000000156,TRN000000000156,2026-06-05,2026-06-05,TD_DEPOSITER,Td Depositer Name 156,TD_CERT_COLL,Td Cert Collector Name 156,TD_WITHDRAWE,Td Withdrawer Name 156,2026-06-05,E,J,JOINT_HOLDER,2026-06-05,PAY,100000000156,BRL,RA,RO,100000000156,INT,BRL,A,G,G,ADVICE_MEDIA_15,EMAIL_156,CU,D,A,A,REASON_CODE_156,8756,5154,2026-06-05,9835.100,5111.800,3964.9000,22548.6000,XREF_156,12192.9000,5298.500,15766.1000,A,801875,1.16000,2026-06-05,67140,155486,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-06-05,006,MAI,MAI,MAI,CMA,1.9900,COMME,006,777270,307485,BAE,AUTHORIZE,VAL,M,DESTI,CUST000156,CUST000156,OPERATION_KEY_1,D,D,B,4.06000,1.89000,A,RATE_CODE_,1.14000,M,RETN_,RETN_,798130.00000,548293.00000,11437.1000,NAT,TXN0000000000000156,2026-06-05
007,100000000157,USD,4785,P,22496.200,OFF,100000000157,TRN000000000157,2026-06-06,2026-06-06,TD_DEPOSITER,Td Depositer Name 157,TD_CERT_COLL,Td Cert Collector Name 157,TD_WITHDRAWE,Td Withdrawer Name 157,2026-06-06,E,J,JOINT_HOLDER,2026-06-06,PAY,100000000157,USD,RA,RO,100000000157,INT,USD,A,G,G,ADVICE_MEDIA_15,EMAIL_157,CU,D,A,A,REASON_CODE_157,7757,7162,2026-06-06,9831.300,14536.500,6953.0000,15619.5000,XREF_157,9468.6000,6377.900,22555.3000,A,696172,2.86000,2026-06-06,302936,298224,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-06-06,007,MAI,MAI,MAI,CMA,3.6700,COMME,007,21505,319021,BAE,AUTHORIZE,VAL,M,DESTI,CUST000157,CUST000157,OPERATION_KEY_1,D,D,B,0.84000,2.03000,A,RATE_CODE_,4.41000,M,RETN_,RETN_,412665.00000,436969.00000,1287.9000,NAT,TXN0000000000000157,2026-06-06
008,100000000158,PEN,481,P,9317.100,OFF,100000000158,TRN000000000158,2026-06-07,2026-06-07,TD_DEPOSITER,Td Depositer Name 158,TD_CERT_COLL,Td Cert Collector Name 158,TD_WITHDRAWE,Td Withdrawer Name 158,2026-06-07,E,J,JOINT_HOLDER,2026-06-07,PAY,100000000158,PEN,RA,RO,100000000158,INT,PEN,A,G,G,ADVICE_MEDIA_15,EMAIL_158,CU,D,A,A,REASON_CODE_158,6445,4055,2026-06-07,7398.200,10905.100,23465.9000,935.0000,XREF_158,24309.1000,19509.600,5530.0000,A,534729,3.43000,2026-06-07,623789,885958,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-06-07,008,MAI,MAI,MAI,CMA,2.6700,COMME,008,577113,338707,BAE,AUTHORIZE,VAL,M,DESTI,CUST000158,CUST000158,OPERATION_KEY_1,D,D,B,4.50000,3.61000,A,RATE_CODE_,2.56000,M,RETN_,RETN_,897092.00000,815772.00000,394.8000,NAT,TXN0000000000000158,2026-06-07
009,100000000159,EUR,6227,P,18475.800,OFF,100000000159,TRN000000000159,2026-06-08,2026-06-08,TD_DEPOSITER,Td Depositer Name 159,TD_CERT_COLL,Td Cert Collector Name 159,TD_WITHDRAWE,Td Withdrawer Name 159,2026-06-08,E,J,JOINT_HOLDER,2026-06-08,PAY,100000000159,EUR,RA,RO,100000000159,INT,EUR,A,G,G,ADVICE_MEDIA_15,EMAIL_159,CU,D,A,A,REASON_CODE_159,2527,5432,2026-06-08,14300.000,1540.300,17990.0000,1109.3000,XREF_159,15383.8000,22034.200,6918.1000,A,292357,2.81000,2026-06-08,800584,25416,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-06-08,009,MAI,MAI,MAI,CMA,1.0600,COMME,009,920643,775662,BAE,AUTHORIZE,VAL,M,DESTI,CUST000159,CUST000159,OPERATION_KEY_1,D,D,B,3.12000,4.35000,A,RATE_CODE_,2.84000,M,RETN_,RETN_,384536.00000,424580.00000,16212.0000,NAT,TXN0000000000000159,2026-06-08
010,100000000160,BRL,2406,P,17062.000,OFF,100000000160,TRN000000000160,2026-06-09,2026-06-09,TD_DEPOSITER,Td Depositer Name 160,TD_CERT_COLL,Td Cert Collector Name 160,TD_WITHDRAWE,Td Withdrawer Name 160,2026-06-09,E,J,JOINT_HOLDER,2026-06-09,PAY,100000000160,BRL,RA,RO,100000000160,INT,BRL,A,G,G,ADVICE_MEDIA_16,EMAIL_160,CU,D,A,A,REASON_CODE_160,5278,5229,2026-06-09,24883.000,10735.600,15167.8000,15971.7000,XREF_160,2132.1000,13716.500,11316.3000,A,159047,2.35000,2026-06-09,860003,927506,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-06-09,010,MAI,MAI,MAI,CMA,0.8100,COMME,010,967096,594971,BAE,AUTHORIZE,VAL,M,DESTI,CUST000160,CUST000160,OPERATION_KEY_1,D,D,B,3.09000,1.40000,A,RATE_CODE_,4.00000,M,RETN_,RETN_,927097.00000,308033.00000,10084.2000,NAT,TXN0000000000000160,2026-06-09
011,100000000161,USD,5263,P,19132.400,OFF,100000000161,TRN000000000161,2026-06-10,2026-06-10,TD_DEPOSITER,Td Depositer Name 161,TD_CERT_COLL,Td Cert Collector Name 161,TD_WITHDRAWE,Td Withdrawer Name 161,2026-06-10,E,J,JOINT_HOLDER,2026-06-10,PAY,100000000161,USD,RA,RO,100000000161,INT,USD,A,G,G,ADVICE_MEDIA_16,EMAIL_161,CU,D,A,A,REASON_CODE_161,492,7694,2026-06-10,21226.300,15334.500,17165.7000,22630.8000,XREF_161,11937.3000,22255.300,15783.3000,A,519957,4.49000,2026-06-10,678787,291417,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-06-10,011,MAI,MAI,MAI,CMA,2.3100,COMME,011,921158,955673,BAE,AUTHORIZE,VAL,M,DESTI,CUST000161,CUST000161,OPERATION_KEY_1,D,D,B,3.85000,3.58000,A,RATE_CODE_,1.51000,M,RETN_,RETN_,126319.00000,639210.00000,24460.4000,NAT,TXN0000000000000161,2026-06-10
012,100000000162,PEN,4468,P,1532.000,OFF,100000000162,TRN000000000162,2026-06-11,2026-06-11,TD_DEPOSITER,Td Depositer Name 162,TD_CERT_COLL,Td Cert Collector Name 162,TD_WITHDRAWE,Td Withdrawer Name 162,2026-06-11,E,J,JOINT_HOLDER,2026-06-11,PAY,100000000162,PEN,RA,RO,100000000162,INT,PEN,A,G,G,ADVICE_MEDIA_16,EMAIL_162,CU,D,A,A,REASON_CODE_162,3990,4568,2026-06-11,14185.900,14654.800,17203.6000,20508.7000,XREF_162,20300.1000,14655.400,24111.9000,A,383807,2.77000,2026-06-11,665349,503827,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-06-11,012,MAI,MAI,MAI,CMA,1.3500,COMME,012,519394,192305,BAE,AUTHORIZE,VAL,M,DESTI,CUST000162,CUST000162,OPERATION_KEY_1,D,D,B,3.54000,4.31000,A,RATE_CODE_,2.23000,M,RETN_,RETN_,741424.00000,303381.00000,4860.9000,NAT,TXN0000000000000162,2026-06-11
