BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY
013,100000000213,USD,P,14851.100,OFF,100000000213,TRN000000000213,3537,Td Withdrawer Name 213,2026-08-01,E,J,JOINT_HOLDER,2026-08-01,PAY,100000000213,USD,RA,RO,100000000213,INT,USD,A,G,GE,ADVICE_MEDIA_21,EMAIL_213,2026-08-01,CU,D,A,A,REASON_CODE_213,LATE,2026-08-01,TD_DEPOSITER,Td Depositer Name 213,TD_CERT_COLL,Td Cert Collector Name 213,TD_WITHDRAWE,5456,TXN0000000000000213,2026-08-01,20026.1000,702.100,20305.600,18404.8000,2451.6000,5601.900,A,886755,3.19000,2026-08-01,106785,591506,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-08-01,013,MAI,MAI,MAI,CMA,3.0700,COMME,013,537424,522143,BAE,AUTHORIZE,VAL,M,DESTI,CUST000213,CUST000213,OPERATION_KEY_2,D,D,B,1.71000,2.52000,A,RATE_CODE_,2.77000,M,RETN_,RETN_,23305.900,507934.00000,542320.00000,21407.1000,NAT
014,100000000214,PEN,P,7150.800,OFF,100000000214,TRN000000000214,1739,Td Withdrawer Name 214,2026-08-02,E,J,JOINT_HOLDER,2026-08-02,PAY,100000000214,PEN,RA,RO,100000000214,INT,PEN,A,G,GE,ADVICE_MEDIA_21,EMAIL_214,2026-08-02,CU,D,A,A,REASON_CODE_214,LATE,2026-08-02,TD_DEPOSITER,Td Depositer Name 214,TD_CERT_COLL,Td Cert Collector Name 214,TD_WITHDRAWE,2082,TXN0000000000000214,2026-08-02,13990.9000,12288.000,21712.600,17037.6000,2295.0000,14919.800,A,899694,4.23000,2026-08-02,580568,188725,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-08-02,014,MAI,MAI,MAI,CMA,1.5200,COMME,014,863448,337020,BAE,AUTHORIZE,VAL,M,DESTI,CUST000214,CUST000214,OPERATION_KEY_2,D,D,B,2.88000,1.12000,A,RATE_CODE_,4.38000,M,RETN_,RETN_,12826.800,801473.00000,276068.00000,470.1000,NAT
015,100000000215,EUR,P,20296.600,OFF,100000000215,TRN000000000215,4416,Td Withdrawer Name 215,2026-08-03,E,J,JOINT_HOLDER,2026-08-03,PAY,100000000215,EUR,RA,RO,100000000215,INT,EUR,A,G,GE,ADVICE_MEDIA_21,EMAIL_215,2026-08-03,CU,D,A,A,REASON_CODE_215,LATE,2026-08-03,TD_DEPOSITER,Td Depositer Name 215,TD_CERT_COLL,Td Cert Collector Name 215,TD_WITHDRAWE,6547,TXN0000000000000215,2026-08-03,8574.0000,24112.400,22710.700,16786.5000,10575.7000,740.100,A,100257,4.39000,2026-08-03,29620,246390,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-08-03,015,MAI,MAI,MAI,CMA,3.7000,COMME,015,620054,325772,BAE,AUTHORIZE,VAL,M,DESTI,CUST000215,CUST000215,OPERATION_KEY_2,D,D,B,2.80000,3.68000,A,RATE_CODE_,4.09000,M,RETN_,RETN_,12400.100,204695.00000,847164.00000,19605.3000,NAT
016,100000000216,BRL,P,14871.500,OFF,100000000216,TRN000000000216,2778,Td Withdrawer Name 216,2026-08-04,E,J,JOINT_HOLDER,2026-08-04,PAY,100000000216,BRL,RA,RO,100000000216,INT,BRL,A,G,GE,ADVICE_MEDIA_21,EMAIL_216,2026-08-04,CU,D,A,A,REASON_CODE_216,LATE,2026-08-04,TD_DEPOSITER,Td Depositer Name 216,TD_CERT_COLL,Td Cert Collector Name 216,TD_WITHDRAWE,9909,TXN0000000000000216,2026-08-04,19881.8000,13834.100,132.600,16663.8000,7265.1000,23291.000,A,678843,1.85000,2026-08-04,267869,88982,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-08-04,016,MAI,MAI,MAI,CMA,2.6000,COMME,016,681345,604341,BAE,AUTHORIZE,VAL,M,DESTI,CUST000216,CUST000216,OPERATION_KEY_2,D,D,B,1.74000,2.21000,A,RATE_CODE_,3.35000,M,RETN_,RETN_,804.200,403634.00000,205275.00000,17080.1000,NAT
017,100000000217,USD,P,10066.900,OFF,100000000217,TRN000000000217,1895,Td Withdrawer Name 217,2026-08-05,E,J,JOINT_HOLDER,2026-08-05,PAY,100000000217,USD,RA,RO,100000000217,INT,USD,A,G,GE,ADVICE_MEDIA_21,EMAIL_217,2026-08-05,CU,D,A,A,REASON_CODE_217,LATE,2026-08-05,TD_DEPOSITER,Td Depositer Name 217,TD_CERT_COLL,Td Cert Collector Name 217,TD_WITHDRAWE,194,TXN0000000000000217,2026-08-05,1084.9000,23960.800,8405.800,3090.1000,7126.5000,845.600,A,223386,1.19000,2026-08-05,898419,945631,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-08-05,017,MAI,MAI,MAI,CMA,2.3800,COMME,017,119048,412246,BAE,AUTHORIZE,VAL,M,DESTI,CUST000217,CUST000217,OPERATION_KEY_2,D,D,B,2.79000,1.22000,A,RATE_CODE_,4.24000,M,RETN_,RETN_,19776.400,665373.00000,339772.00000,2905.0000,NAT
018,100000000218,PEN,P,22409.200,OFF,100000000218,TRN000000000218,1342,Td Withdrawer Name 218,2026-08-06,E,J,JOINT_HOLDER,2026-08-06,PAY,100000000218,PEN,RA,RO,100000000218,INT,PEN,A,G,GE,ADVICE_MEDIA_21,EMAIL_218,2026-08-06,CU,D,A,A,REASON_CODE_218,LATE,2026-08-06,TD_DEPOSITER,Td Depositer Name 218,TD_CERT_COLL,Td Cert Collector Name 218,TD_WITHDRAWE,5670,TXN0000000000000218,2026-08-06,19300.7000,20748.100,5740.200,18423.5000,2968.9000,13029.400,A,88753,2.87000,2026-08-06,60285,293239,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-08-06,018,MAI,MAI,MAI,CMA,2.0800,COMME,018,955856,202506,BAE,AUTHORIZE,VAL,M,DESTI,CUST000218,CUST000218,OPERATION_KEY_2,D,D,B,4.44000,1.09000,A,RATE_CODE_,2.12000,M,RETN_,RETN_,12862.400,262077.00000,849598.00000,13850.3000,NAT
019,100000000219,EUR,P,12190.200,OFF,100000000219,TRN000000000219,2487,Td Withdrawer Name 219,2026-08-07,E,J,JOINT_HOLDER,2026-08-07,PAY,100000000219,EUR,RA,RO,100000000219,INT,EUR,A,G,GE,ADVICE_MEDIA_21,EMAIL_219,2026-08-07,CU,D,A,A,REASON_CODE_219,LATE,2026-08-07,TD_DEPOSITER,Td Depositer Name 219,TD_CERT_COLL,Td Cert Collector Name 219,TD_WITHDRAWE,6801,TXN0000000000000219,2026-08-07,5126.4000,24388.400,9158.000,14935.9000,13921.5000,10286.600,A,529008,4.39000,2026-08-07,519369,228958,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-08-07,019,MAI,MAI,MAI,CMA,3.7400,COMME,019,168583,352436,BAE,AUTHORIZE,VAL,M,DESTI,CUST000219,CUST000219,OPERATION_KEY_2,D,D,B,4.05000,2.81000,A,RATE_CODE_,2.09000,M,RETN_,RETN_,13122.300,239072.00000,487638.00000,16205.9000,NAT
020,100000000220,BRL,P,21148.300,OFF,100000000220,TRN000000000220,5582,Td Withdrawer Name 220,2026-08-08,E,J,JOINT_HOLDER,2026-08-08,PAY,100000000220,BRL,RA,RO,100000000220,INT,BRL,A,G,GE,ADVICE_MEDIA_22,EMAIL_220,2026-08-08,CU,D,A,A,REASON_CODE_220,LATE,2026-08-08,TD_DEPOSITER,Td Depositer Name 220,TD_CERT_COLL,Td Cert Collector Name 220,TD_WITHDRAWE,6692,TXN0000000000000220,2026-08-08,6103.5000,13433.000,12231.000,19699.0000,10477.7000,12093.900,A,669169,3.11000,2026-08-08,318850,249695,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-08-08,020,MAI,MAI,MAI,CMA,1.3900,COMME,020,276895,796700,BAE,AUTHORIZE,VAL,M,DESTI,CUST000220,CUST000220,OPERATION_KEY_2,D,D,B,2.75000,3.05000,A,RATE_CODE_,1.29000,M,RETN_,RETN_,14421.800,735078.00000,979902.00000,13573.3000,NAT
021,100000000221,USD,P,22312.200,OFF,100000000221,TRN000000000221,3177,Td Withdrawer Name 221,2026-08-09,E,J,JOINT_HOLDER,2026-08-09,PAY,100000000221,USD,RA,RO,100000000221,INT,USD,A,G,GE,ADVICE_MEDIA_22,EMAIL_221,2026-08-09,CU,D,A,A,REASON_CODE_221,LATE,2026-08-09,TD_DEPOSITER,Td Depositer Name 221,TD_CERT_COLL,Td Cert Collector Name 221,TD_WITHDRAWE,651,TXN0000000000000221,2026-08-09,5306.1000,20108.300,23168.500,4249.3000,3361.4000,4749.200,A,4754,0.82000,2026-08-09,737043,689233,DOCUME,D,021,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-08-09,021,MAI,MAI,MAI,CMA,4.4000,COMME,021,888416,494171,BAE,AUTHORIZE,VAL,M,DESTI,CUST000221,CUST000221,OPERATION_KEY_2,D,D,B,0.97000,2.71000,A,RATE_CODE_,1.58000,M,RETN_,RETN_,7116.000,825633.00000,162033.00000,1105.8000,NAT
022,100000000222,PEN,P,19125.300,OFF,100000000222,TRN000000000222,4735,Td Withdrawer Name 222,2026-08-10,E,J,JOINT_HOLDER,2026-08-10,PAY,100000000222,PEN,RA,RO,100000000222,INT,PEN,A,G,GE,ADVICE_MEDIA_22,EMAIL_222,2026-08-10,CU,D,A,A,REASON_CODE_222,LATE,2026-08-10,TD_DEPOSITER,Td Depositer Name 222,TD_CERT_COLL,Td Cert Collector Name 222,TD_WITHDRAWE,3313,TXN0000000000000222,2026-08-10,17024.5000,1978.700,1074.000,12503.0000,4897.2000,6159.200,A,26862,1.60000,2026-08-10,415001,384998,DOCUME,D,022,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-08-10,022,MAI,MAI,MAI,CMA,4.0600,COMME,022,648122,183584,BAE,AUTHORIZE,VAL,M,DESTI,CUST000222,CUST000222,OPERATION_KEY_2,D,D,B,3.44000,2.49000,A,RATE_CODE_,1.06000,M,RETN_,RETN_,3293.000,558395.00000,382878.00000,13172.7000,NAT
023,100000000223,EUR,P,17659.200,OFF,100000000223,TRN000000000223,5087,Td Withdrawer Name 223,2026-08-11,E,J,JOINT_HOLDER,2026-08-11,PAY,100000000223,EUR,RA,RO,100000000223,INT,EUR,A,G,GE,ADVICE_MEDIA_22,EMAIL_223,2026-08-11,CU,D,A,A,REASON_CODE_223,LATE,2026-08-11,TD_DEPOSITER,Td Depositer Name 223,TD_CERT_COLL,Td Cert Collector Name 223,TD_WITHDRAWE,2443,TXN0000000000000223,2026-08-11,187656.0000,24433.600,116182.400,79611.2000,135842.4000,112942.400,A,347105,3.50000,2026-08-11,118348,59842,DOCUME,D,023,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-08-11,023,MAI,MAI,MAI,CMA,1.2300,COMME,023,859503,86080,BAE,AUTHORIZE,VAL,M,DESTI,CUST000223,CUST000223,OPERATION_KEY_2,D,D,B,4.26000,3.04000,A,RATE_CODE_,1.18000,M,RETN_,RETN_,82491.200,966785.00000,993265.00000,197068.8000,NAT
024,100000000224,BRL,P,7353.600,OFF,100000000224,TRN000000000224,7353,Td Withdrawer Name 224,2026-08-12,E,J,JOINT_HOLDER,2026-08-12,PAY,100000000224,BRL,RA,RO,100000000224,INT,BRL,A,G,GE,ADVICE_MEDIA_22,EMAIL_224,2026-08-12,CU,D,A,A,REASON_CODE_224,LATE,2026-08-12,TD_DEPOSITER,Td Depositer Name 224,TD_CERT_COLL,Td Cert Collector Name 224,TD_WITHDRAWE,7665,TXN0000000000000224,2026-08-12,6411.8000,12405.000,10391.100,749.9000,5911.9000,7433.000,A,399498,2.19000,2026-08-12,95282,282452,DOCUME,D,024,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-08-12,024,MAI,MAI,MAI,CMA,1.9400,COMME,024,925708,2767,BAE,AUTHORIZE,VAL,M,DESTI,CUST000224,CUST000224,OPERATION_KEY_2,D,D,B,1.55000,1.46000,A,RATE_CODE_,2.04000,M,RETN_,RETN_,858.700,97899.00000,666803.00000,12885.2000,NAT
025,100000000225,USD,P,1437.100,OFF,100000000225,TRN000000000225,3401,Td Withdrawer Name 225,2026-08-13,E,J,JOINT_HOLDER,2026-08-13,PAY,100000000225,USD,RA,RO,100000000225,INT,USD,A,G,GE,ADVICE_MEDIA_22,EMAIL_225,2026-08-13,CU,D,A,A,REASON_CODE_225,LATE,2026-08-13,TD_DEPOSITER,Td Depositer Name 225,TD_CERT_COLL,Td Cert Collector Name 225,TD_WITHDRAWE,247,TXN0000000000000225,2026-08-13,3940.4000,8464.800,10593.600,18706.4000,18791.7000,24337.400,A,267210,0.97000,2026-08-13,258410,78903,DOCUME,D,025,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-08-13,025,MAI,MAI,MAI,CMA,2.8900,COMME,025,738121,963055,BAE,AUTHORIZE,VAL,M,DESTI,CUST000225,CUST000225,OPERATION_KEY_2,D,D,B,3.83000,1.87000,A,RATE_CODE_,3.65000,M,RETN_,RETN_,23689.500,30619.00000,141475.00000,1892.1000,NAT
001,100000000226,PEN,P,23330.500,OFF,100000000226,TRN000000000226,1114,Td Withdrawer Name 226,2026-08-14,E,J,JOINT_HOLDER,2026-08-14,PAY,100000000226,PEN,RA,RO,100000000226,INT,PEN,A,G,GE,ADVICE_MEDIA_22,EMAIL_226,2026-08-14,CU,D,A,A,REASON_CODE_226,LATE,2026-08-14,TD_DEPOSITER,Td Depositer Name 226,TD_CERT_COLL,Td Cert Collector Name 226,TD_WITHDRAWE,3305,TXN0000000000000226,2026-08-14,9340.8000,13384.700,4361.000,11479.9000,13881.1000,11530.100,A,321306,2.14000,2026-08-14,599236,254913,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-08-14,001,MAI,MAI,MAI,CMA,1.2400,COMME,001,364271,194223,BAE,AUTHORIZE,VAL,M,DESTI,CUST000226,CUST000226,OPERATION_KEY_2,D,D,B,3.35000,2.88000,A,RATE_CODE_,2.30000,M,RETN_,RETN_,4519.500,102598.00000,582423.00000,18141.2000,NAT
002,100000000227,EUR,P,3255.600,OFF,100000000227,TRN000000000227,6299,Td Withdrawer Name 227,2026-08-15,E,J,JOINT_HOLDER,2026-08-15,PAY,100000000227,EUR,RA,RO,100000000227,INT,EUR,A,G,GE,ADVICE_MEDIA_22,EMAIL_227,2026-08-15,CU,D,A,A,REASON_CODE_227,LATE,2026-08-15,TD_DEPOSITER,Td Depositer Name 227,TD_CERT_COLL,Td Cert Collector Name 227,TD_WITHDRAWE,1004,TXN0000000000000227,2026-08-15,21024.7000,19561.800,12765.100,9970.7000,4730.4000,14905.300,A,859408,1.42000,2026-08-15,342631,380900,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-08-15,002,MAI,MAI,MAI,CMA,3.1900,COMME,002,945287,825715,BAE,AUTHORIZE,VAL,M,DESTI,CUST000227,CUST000227,OPERATION_KEY_2,D,D,B,3.98000,1.54000,A,RATE_CODE_,3.92000,M,RETN_,RETN_,10383.100,516606.00000,885404.00000,12385.6000,NAT
003,100000000228,BRL,P,548.700,OFF,100000000228,TRN000000000228,5602,Td Withdrawer Name 228,2026-08-16,E,J,JOINT_HOLDER,2026-08-16,PAY,100000000228,BRL,RA,RO,100000000228,INT,BRL,A,G,GE,ADVICE_MEDIA_22,EMAIL_228,2026-08-16,CU,D,A,A,REASON_CODE_228,LATE,2026-08-16,TD_DEPOSITER,Td Depositer Name 228,TD_CERT_COLL,Td Cert Collector Name 228,TD_WITHDRAWE,3438,TXN0000000000000228,2026-08-16,16230.8000,24644.200,4578.500,2831.9000,21179.1000,16021.400,A,731083,1.52000,2026-08-16,516083,211298,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-08-16,003,MAI,MAI,MAI,CMA,1.2900,COMME,003,7803,794357,BAE,AUTHORIZE,VAL,M,DESTI,CUST000228,CUST000228,OPERATION_KEY_2,D,D,B,2.77000,4.32000,A,RATE_CODE_,1.76000,M,RETN_,RETN_,13280.800,282840.00000,158292.00000,16989.0000,NAT
004,100000000229,USD,P,22819.300,OFF,100000000229,TRN000000000229,2762,Td Withdrawer Name 229,2026-08-17,E,J,JOINT_HOLDER,2026-08-17,PAY,100000000229,USD,RA,RO,100000000229,INT,USD,A,G,GE,ADVICE_MEDIA_22,EMAIL_229,2026-08-17,CU,D,A,A,REASON_CODE_229,LATE,2026-08-17,TD_DEPOSITER,Td Depositer Name 229,TD_CERT_COLL,Td Cert Collector Name 229,TD_WITHDRAWE,9989,TXN0000000000000229,2026-08-17,23990.0000,23083.500,13800.800,4496.4000,22322.2000,17227.300,A,278788,3.34000,2026-08-17,216137,118633,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-08-17,004,MAI,MAI,MAI,CMA,4.0700,COMME,004,469173,146934,BAE,AUTHORIZE,VAL,M,DESTI,CUST000229,CUST000229,OPERATION_KEY_2,D,D,B,2.35000,3.28000,A,RATE_CODE_,3.28000,M,RETN_,RETN_,12110.300,695122.00000,957159.00000,8406.5000,NAT
005,100000000230,PEN,P,261.500,OFF,100000000230,TRN000000000230,1217,Td Withdrawer Name 230,2026-08-18,E,J,JOINT_HOLDER,2026-08-18,PAY,100000000230,PEN,RA,RO,100000000230,INT,PEN,A,G,GE,ADVICE_MEDIA_23,EMAIL_230,2026-08-18,CU,D,A,A,REASON_CODE_230,LATE,2026-08-18,TD_DEPOSITER,Td Depositer Name 230,TD_CERT_COLL,Td Cert Collector Name 230,TD_WITHDRAWE,7048,TXN0000000000000230,2026-08-18,12830.0000,13121.200,16902.000,18722.9000,16207.2000,10410.100,A,674485,1.74000,2026-08-18,352649,427803,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-08-18,005,MAI,MAI,MAI,CMA,3.3700,COMME,005,536271,241999,BAE,AUTHORIZE,VAL,M,DESTI,CUST000230,CUST000230,OPERATION_KEY_2,D,D,B,2.68000,2.12000,A,RATE_CODE_,3.19000,M,RETN_,RETN_,11853.200,90206.00000,43844.00000,9534.7000,NAT
006,100000000231,EUR,P,11286.300,OFF,100000000231,TRN000000000231,4349,Td Withdrawer Name 231,2026-08-19,E,J,JOINT_HOLDER,2026-08-19,PAY,100000000231,EUR,RA,RO,100000000231,INT,EUR,A,G,GE,ADVICE_MEDIA_23,EMAIL_231,2026-08-19,CU,D,A,A,REASON_CODE_231,LATE,2026-08-19,TD_DEPOSITER,Td Depositer Name 231,TD_CERT_COLL,Td Cert Collector Name 231,TD_WITHDRAWE,7945,TXN0000000000000231,2026-08-19,13041.5000,1024.900,3320.800,2759.6000,17936.7000,23302.500,A,193793,1.30000,2026-08-19,548668,811660,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-08-19,006,MAI,MAI,MAI,CMA,1.3800,COMME,006,894694,907765,BAE,AUTHORIZE,VAL,M,DESTI,CUST000231,CUST000231,OPERATION_KEY_2,D,D,B,3.03000,2.89000,A,RATE_CODE_,2.83000,M,RETN_,RETN_,18887.400,992386.00000,205963.00000,5067.9000,NAT
007,100000000232,BRL,P,18460.500,OFF,100000000232,TRN000000000232,9312,Td Withdrawer Name 232,2026-08-20,E,J,JOINT_HOLDER,2026-08-20,PAY,100000000232,BRL,RA,RO,100000000232,INT,BRL,A,G,GE,ADVICE_MEDIA_23,EMAIL_232,2026-08-20,CU,D,A,A,REASON_CODE_232,LATE,2026-08-20,TD_DEPOSITER,Td Depositer Name 232,TD_CERT_COLL,Td Cert Collector Name 232,TD_WITHDRAWE,7843,TXN0000000000000232,2026-08-20,11111.2000,14690.000,12928.800,22884.8000,6633.2000,9143.400,A,284666,2.35000,2026-08-20,73680,689084,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-08-20,007,MAI,MAI,MAI,CMA,1.5000,COMME,007,949133,719916,BAE,AUTHORIZE,VAL,M,DESTI,CUST000232,CUST000232,OPERATION_KEY_2,D,D,B,1.58000,1.67000,A,RATE_CODE_,2.53000,M,RETN_,RETN_,3740.200,687459.00000,620220.00000,163.5000,NAT
008,100000000233,USD,P,5181.500,OFF,100000000233,TRN000000000233,7697,Td Withdrawer Name 233,2026-08-21,E,J,JOINT_HOLDER,2026-08-21,PAY,100000000233,USD,RA,RO,100000000233,INT,USD,A,G,GE,ADVICE_MEDIA_23,EMAIL_233,2026-08-21,CU,D,A,A,REASON_CODE_233,LATE,2026-08-21,TD_DEPOSITER,Td Depositer Name 233,TD_CERT_COLL,Td Cert Collector Name 233,TD_WITHDRAWE,3543,TXN0000000000000233,2026-08-21,19268.2000,19933.500,13527.800,1224.8000,12808.5000,18791.000,A,648980,2.91000,2026-08-21,942189,168030,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-08-21,008,MAI,MAI,MAI,CMA,4.1800,COMME,008,117245,948929,BAE,AUTHORIZE,VAL,M,DESTI,CUST000233,CUST000233,OPERATION_KEY_2,D,D,B,4.17000,2.67000,A,RATE_CODE_,4.10000,M,RETN_,RETN_,22296.600,348316.00000,116811.00000,3486.6000,NAT
009,100000000234,PEN,P,3159.600,OFF,100000000234,TRN000000000234,7512,Td Withdrawer Name 234,2026-08-22,E,J,JOINT_HOLDER,2026-08-22,PAY,100000000234,PEN,RA,RO,100000000234,INT,PEN,A,G,GE,ADVICE_MEDIA_23,EMAIL_234,2026-08-22,CU,D,A,A,REASON_CODE_234,LATE,2026-08-22,TD_DEPOSITER,Td Depositer Name 234,TD_CERT_COLL,Td Cert Collector Name 234,TD_WITHDRAWE,9022,TXN0000000000000234,2026-08-22,24841.0000,3976.400,8614.400,18146.6000,3917.5000,6698.900,A,79289,3.70000,2026-08-22,55600,628788,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-08-22,009,MAI,MAI,MAI,CMA,3.0600,COMME,009,162004,512534,BAE,AUTHORIZE,VAL,M,DESTI,CUST000234,CUST000234,OPERATION_KEY_2,D,D,B,3.66000,1.97000,A,RATE_CODE_,3.63000,M,RETN_,RETN_,21277.800,998555.00000,490673.00000,19692.7000,NAT
010,100000000235,EUR,P,3793.900,OFF,100000000235,TRN000000000235,8942,Td Withdrawer Name 235,2026-08-23,E,J,JOINT_HOLDER,2026-08-23,PAY,100000000235,EUR,RA,RO,100000000235,INT,EUR,A,G,GE,ADVICE_MEDIA_23,EMAIL_235,2026-08-23,CU,D,A,A,REASON_CODE_235,LATE,2026-08-23,TD_DEPOSITER,Td Depositer Name 235,TD_CERT_COLL,Td Cert Collector Name 235,TD_WITHDRAWE,8113,TXN0000000000000235,2026-08-23,9625.3000,16580.700,6591.500,60.3000,7526.2000,21338.000,A,527922,3.70000,2026-08-23,795131,129481,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-08-23,010,MAI,MAI,MAI,CMA,4.0700,COMME,010,442724,616786,BAE,AUTHORIZE,VAL,M,DESTI,CUST000235,CUST000235,OPERATION_KEY_2,D,D,B,3.67000,1.14000,A,RATE_CODE_,1.80000,M,RETN_,RETN_,15618.500,478394.00000,991841.00000,12040.9000,NAT
