BRN,ACC,CCY,VERSION_NO,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,CREATION_DT,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_EVENT_SEQ_NO,TENOR,NEXT_RATE_CHANGE_DT,INPUT_TAX_AMT,TD_MATURITY_AMT,TD_INT_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,XREF,TD_PRN_AMT_READJ_CCY,TD_INT_AMT,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,TXN_ID
025,100000000475,EUR,7900,P,17368.400,OFF,100000000475,TRN000000000475,2026-04-20,2026-04-20,TD_DEPOSITER,Td Depositer Name 475,TD_CERT_COLL,Td Cert Collector Name 475,TD_WITHDRAWE,Td Withdrawer Name 475,2026-04-20,E,J,JOINT_HOLDER,2026-04-20,PAY,100000000475,EUR,RA,RO,100000000475,INT,EUR,A,G,G,ADVICE_MEDIA_47,EMAIL_475,CU,D,A,A,REASON_CODE_475,4614,9573,2026-04-20,14172.700,24617.500,14546.6000,7188.2000,XREF_475,7443.7000,24444.100,18512.9000,A,710602,1.12000,2026-04-20,123503,367066,DOCUME,D,025,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-04-20,025,MAI,MAI,MAI,CMA,2.4300,COMME,025,96209,71514,BAE,AUTHORIZE,VAL,M,DESTI,CUST000475,CUST000475,OPERATION_KEY_4,D,D,B,3.74000,2.50000,A,RATE_CODE_,0.97000,M,RETN_,RETN_,124676.00000,296417.00000,914.9000,NAT,TXN0000000000000475
001,100000000476,BRL,9919,P,20987.500,OFF,100000000476,TRN000000000476,2026-04-21,2026-04-21,TD_DEPOSITER,Td Depositer Name 476,TD_CERT_COLL,Td Cert Collector Name 476,TD_WITHDRAWE,Td Withdrawer Name 476,2026-04-21,E,J,JOINT_HOLDER,2026-04-21,PAY,100000000476,BRL,RA,RO,100000000476,INT,BRL,A,G,G,ADVICE_MEDIA_47,EMAIL_476,CU,D,A,A,REASON_CODE_476,3864,6879,2026-04-21,23626.800,9378.000,15737.3000,1723.2000,XREF_476,13933.0000,6396.300,3757.7000,A,142699,1.16000,2026-04-21,24700,757146,DOCUME,D,001,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-04-21,001,MAI,MAI,MAI,CMA,2.6300,COMME,001,402065,375180,BAE,AUTHORIZE,VAL,M,DESTI,CUST000476,CUST000476,OPERATION_KEY_4,D,D,B,2.31000,1.50000,A,RATE_CODE_,2.31000,M,RETN_,RETN_,714549.00000,443991.00000,10101.3000,NAT,TXN0000000000000476
002,100000000477,USD,5412,P,10678.600,OFF,100000000477,TRN000000000477,2026-04-22,2026-04-22,TD_DEPOSITER,Td Depositer Name 477,TD_CERT_COLL,Td Cert Collector Name 477,TD_WITHDRAWE,Td Withdrawer Name 477,2026-04-22,E,J,JOINT_HOLDER,2026-04-22,PAY,100000000477,USD,RA,RO,100000000477,INT,USD,A,G,G,ADVICE_MEDIA_47,EMAIL_477,CU,D,A,A,REASON_CODE_477,5934,4618,2026-04-22,13477.400,24665.000,4342.7000,3827.7000,XREF_477,17314.7000,13083.500,2960.4000,A,81738,3.58000,2026-04-22,170676,813285,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-04-22,002,MAI,MAI,MAI,CMA,3.3500,COMME,002,753457,407247,BAE,AUTHORIZE,VAL,M,DESTI,CUST000477,CUST000477,OPERATION_KEY_4,D,D,B,3.91000,3.59000,A,RATE_CODE_,1.40000,M,RETN_,RETN_,216961.00000,5873.00000,3591.8000,NAT,TXN0000000000000477
003,100000000478,PEN,7699,P,13017.300,OFF,100000000478,TRN000000000478,2026-04-23,2026-04-23,TD_DEPOSITER,Td Depositer Name 478,TD_CERT_COLL,Td Cert Collector Name 478,TD_WITHDRAWE,Td Withdrawer Name 478,2026-04-23,E,J,JOINT_HOLDER,2026-04-23,PAY,100000000478,PEN,RA,RO,100000000478,INT,PEN,A,G,G,ADVICE_MEDIA_47,EMAIL_478,CU,D,A,A,REASON_CODE_478,5610,6232,2026-04-23,22247.100,22243.900,7936.2000,24474.8000,XREF_478,23671.5000,11934.100,20115.4000,A,561382,1.67000,2026-04-23,549269,492510,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-04-23,003,MAI,MAI,MAI,CMA,1.2600,COMME,003,968085,299332,BAE,AUTHORIZE,VAL,M,DESTI,CUST000478,CUST000478,OPERATION_KEY_4,D,D,B,1.17000,1.97000,A,RATE_CODE_,1.18000,M,RETN_,RETN_,815846.00000,427235.00000,6274.7000,NAT,TXN0000000000000478
004,100000000479,EUR,1388,P,18034.800,OFF,100000000479,TRN000000000479,2026-04-24,2026-04-24,TD_DEPOSITER,Td Depositer Name 479,TD_CERT_COLL,Td Cert Collector Name 479,TD_WITHDRAWE,Td Withdrawer Name 479,2026-04-24,E,J,JOINT_HOLDER,2026-04-24,PAY,100000000479,EUR,RA,RO,100000000479,INT,EUR,A,G,G,ADVICE_MEDIA_47,EMAIL_479,CU,D,A,A,REASON_CODE_479,4907,2798,2026-04-24,11066.200,1569.000,11844.6000,11212.6000,XREF_479,10279.8000,22729.100,20487.7000,A,132838,4.34000,2026-04-24,912305,547990,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-04-24,004,MAI,MAI,MAI,CMA,2.5300,COMME,004,342741,547160,BAE,AUTHORIZE,VAL,M,DESTI,CUST000479,CUST000479,OPERATION_KEY_4,D,D,B,1.17000,1.07000,A,RATE_CODE_,3.01000,M,RETN_,RETN_,351.00000,900669.00000,23916.9000,NAT,TXN0000000000000479
005,100000000480,BRL,6471,P,22072.500,OFF,100000000480,TRN000000000480,2026-04-25,2026-04-25,TD_DEPOSITER,Td Depositer Name 480,TD_CERT_COLL,Td Cert Collector Name 480,TD_WITHDRAWE,Td Withdrawer Name 480,2026-04-25,E,J,JOINT_HOLDER,2026-04-25,PAY,100000000480,BRL,RA,RO,100000000480,INT,BRL,A,G,G,ADVICE_MEDIA_48,EMAIL_480,CU,D,A,A,REASON_CODE_480,3824,9752,2026-04-25,18292.400,8392.000,24574.3000,9571.2000,XREF_480,19017.6000,1197.500,9065.4000,A,99741,2.73000,2026-04-25,144811,341565,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-04-25,005,MAI,MAI,MAI,CMA,2.8400,COMME,005,227108,263328,BAE,AUTHORIZE,VAL,M,DESTI,CUST000480,CUST000480,OPERATION_KEY_4,D,D,B,4.46000,2.46000,A,RATE_CODE_,4.34000,M,RETN_,RETN_,166507.00000,901488.00000,6119.8000,NAT,TXN0000000000000480
006,100000000481,USD,9692,P,13764.900,OFF,100000000481,TRN000000000481,2026-04-26,2026-04-26,TD_DEPOSITER,Td Depositer Name 481,TD_CERT_COLL,Td Cert Collector Name 481,TD_WITHDRAWE,Td Withdrawer Name 481,2026-04-26,E,J,JOINT_HOLDER,2026-04-26,PAY,100000000481,USD,RA,RO,100000000481,INT,USD,A,G,G,ADVICE_MEDIA_48,EMAIL_481,CU,D,A,A,REASON_CODE_481,8428,4776,2026-04-26,17676.600,2696.000,22990.2000,22312.6000,XREF_481,16596.9000,24731.800,23987.6000,A,80865,2.37000,2026-04-26,980235,451317,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-04-26,006,MAI,MAI,MAI,CMA,1.6900,COMME,006,6696,537896,BAE,AUTHORIZE,VAL,M,DESTI,CUST000481,CUST000481,OPERATION_KEY_4,D,D,B,3.32000,1.06000,A,RATE_CODE_,1.94000,M,RETN_,RETN_,237690.00000,796298.00000,24974.0000,NAT,TXN0000000000000481
007,100000000482,PEN,6295,P,3907.200,OFF,100000000482,TRN000000000482,2026-04-27,2026-04-27,TD_DEPOSITER,Td Depositer Name 482,TD_CERT_COLL,Td Cert Collector Name 482,TD_WITHDRAWE,Td Withdrawer Name 482,2026-04-27,E,J,JOINT_HOLDER,2026-04-27,PAY,100000000482,PEN,RA,RO,100000000482,INT,PEN,A,G,G,ADVICE_MEDIA_48,EMAIL_482,CU,D,A,A,REASON_CODE_482,9681,2226,2026-04-27,177202.400,136498.400,34334.4000,77049.6000,XREF_482,93104.8000,50348.000,66584.0000,A,29402,2.34000,2026-04-27,278576,965207,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-04-27,007,MAI,MAI,MAI,CMA,1.8900,COMME,007,205421,626166,BAE,AUTHORIZE,VAL,M,DESTI,CUST000482,CUST000482,OPERATION_KEY_4,D,D,B,3.57000,1.46000,A,RATE_CODE_,2.03000,M,RETN_,RETN_,902961.00000,721927.00000,57724.0000,NAT,TXN0000000000000482
008,100000000483,EUR,2820,P,18349.700,OFF,100000000483,TRN000000000483,2026-04-28,2026-04-28,TD_DEPOSITER,Td Depositer Name 483,TD_CERT_COLL,Td Cert Collector Name 483,TD_WITHDRAWE,Td Withdrawer Name 483,2026-04-28,E,J,JOINT_HOLDER,2026-04-28,PAY,100000000483,EUR,RA,RO,100000000483,INT,EUR,A,G,G,ADVICE_MEDIA_48,EMAIL_483,CU,D,A,A,REASON_CODE_483,4598,5573,2026-04-28,23709.900,17115.300,21903.2000,9497.1000,XREF_483,5258.7000,24064.700,1493.6000,A,459289,3.34000,2026-04-28,766984,706789,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-04-28,008,MAI,MAI,MAI,CMA,2.4100,COMME,008,312697,475347,BAE,AUTHORIZE,VAL,M,DESTI,CUST000483,CUST000483,OPERATION_KEY_4,D,D,B,4.17000,2.08000,A,RATE_CODE_,0.98000,M,RETN_,RETN_,885732.00000,657952.00000,16326.5000,NAT,TXN0000000000000483
009,100000000484,BRL,9942,P,13267.500,OFF,100000000484,TRN000000000484,2026-04-29,2026-04-29,TD_DEPOSITER,Td Depositer Name 484,TD_CERT_COLL,Td Cert Collector Name 484,TD_WITHDRAWE,Td Withdrawer Name 484,2026-04-29,E,J,JOINT_HOLDER,2026-04-29,PAY,100000000484,BRL,RA,RO,100000000484,INT,BRL,A,G,G,ADVICE_MEDIA_48,EMAIL_484,CU,D,A,A,REASON_CODE_484,6039,7579,2026-04-29,10337.500,15061.800,4980.7000,22770.4000,XREF_484,19947.3000,16034.200,10262.5000,A,614,2.15000,2026-04-29,425616,286433,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-04-29,009,MAI,MAI,MAI,CMA,1.6400,COMME,009,149248,972659,BAE,AUTHORIZE,VAL,M,DESTI,CUST000484,CUST000484,OPERATION_KEY_4,D,D,B,1.21000,2.02000,A,RATE_CODE_,2.83000,M,RETN_,RETN_,571911.00000,664834.00000,4682.9000,NAT,TXN0000000000000484
010,100000000485,USD,3592,P,2826.800,OFF,100000000485,TRN000000000485,2026-04-30,2026-04-30,TD_DEPOSITER,Td Depositer Name 485,TD_CERT_COLL,Td Cert Collector Name 485,TD_WITHDRAWE,Td Withdrawer Name 485,2026-04-30,E,J,JOINT_HOLDER,2026-04-30,PAY,100000000485,USD,RA,RO,100000000485,INT,USD,A,G,G,ADVICE_MEDIA_48,EMAIL_485,CU,D,A,A,REASON_CODE_485,7742,3378,2026-04-30,21148.800,17810.300,10665.8000,23931.3000,XREF_485,23085.4000,11384.300,12028.0000,A,285289,1.63000,2026-04-30,60052,857533,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-04-30,010,MAI,MAI,MAI,CMA,2.9000,COMME,010,984512,967505,BAE,AUTHORIZE,VAL,M,DESTI,CUST000485,CUST000485,OPERATION_KEY_4,D,D,B,3.98000,1.48000,A,RATE_CODE_,3.86000,M,RETN_,RETN_,322158.00000,936200.00000,11261.2000,NAT,TXN0000000000000485
011,100000000486,PEN,7131,P,744.900,OFF,100000000486,TRN000000000486,2026-05-01,2026-05-01,TD_DEPOSITER,Td Depositer Name 486,TD_CERT_COLL,Td Cert Collector Name 486,TD_WITHDRAWE,Td Withdrawer Name 486,2026-05-01,E,J,JOINT_HOLDER,2026-05-01,PAY,100000000486,PEN,RA,RO,100000000486,INT,PEN,A,G,G,ADVICE_MEDIA_48,EMAIL_486,CU,D,A,A,REASON_CODE_486,7713,477,2026-05-01,8498.000,14245.200,24142.6000,4985.0000,XREF_486,17636.0000,23621.500,20761.1000,A,124127,0.90000,2026-05-01,349796,90008,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-05-01,011,MAI,MAI,MAI,CMA,4.2400,COMME,011,324232,752462,BAE,AUTHORIZE,VAL,M,DESTI,CUST000486,CUST000486,OPERATION_KEY_4,D,D,B,2.42000,3.36000,A,RATE_CODE_,1.84000,M,RETN_,RETN_,58482.00000,195593.00000,10082.4000,NAT,TXN0000000000000486
012,100000000487,EUR,6502,P,20080.300,OFF,100000000487,TRN000000000487,2026-05-02,2026-05-02,TD_DEPOSITER,Td Depositer Name 487,TD_CERT_COLL,Td Cert Collector Name 487,TD_WITHDRAWE,Td Withdrawer Name 487,2026-05-02,E,J,JOINT_HOLDER,2026-05-02,PAY,100000000487,EUR,RA,RO,100000000487,INT,EUR,A,G,G,ADVICE_MEDIA_48,EMAIL_487,CU,D,A,A,REASON_CODE_487,8972,7707,2026-05-02,8686.200,18361.700,23269.6000,9831.0000,XREF_487,3697.4000,1258.900,15933.2000,A,103206,1.83000,2026-05-02,447351,3543,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-05-02,012,MAI,MAI,MAI,CMA,4.4600,COMME,012,54392,895761,BAE,AUTHORIZE,VAL,M,DESTI,CUST000487,CUST000487,OPERATION_KEY_4,D,D,B,3.27000,2.47000,A,RATE_CODE_,0.94000,M,RETN_,RETN_,673129.00000,89173.00000,20586.6000,NAT,TXN0000000000000487
013,100000000488,BRL,660,P,10316.900,OFF,100000000488,TRN000000000488,2026-05-03,2026-05-03,TD_DEPOSITER,Td Depositer Name 488,TD_CERT_COLL,Td Cert Collector Name 488,TD_WITHDRAWE,Td Withdrawer Name 488,2026-05-03,E,J,JOINT_HOLDER,2026-05-03,PAY,100000000488,BRL,RA,RO,100000000488,INT,BRL,A,G,G,ADVICE_MEDIA_48,EMAIL_488,CU,D,A,A,REASON_CODE_488,146,703,2026-05-03,24645.600,6430.100,11973.3000,1451.9000,XREF_488,9952.0000,22512.800,20723.5000,A,116419,4.22000,2026-05-03,957995,893544,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-05-03,013,MAI,MAI,MAI,CMA,2.6600,COMME,013,45428,186755,BAE,AUTHORIZE,VAL,M,DESTI,CUST000488,CUST000488,OPERATION_KEY_4,D,D,B,1.00000,2.81000,A,RATE_CODE_,3.88000,M,RETN_,RETN_,456678.00000,608795.00000,12563.6000,NAT,TXN0000000000000488
014,100000000489,USD,7499,P,5593.000,OFF,100000000489,TRN000000000489,2026-05-04,2026-05-04,TD_DEPOSITER,Td Depositer Name 489,TD_CERT_COLL,Td Cert Collector Name 489,TD_WITHDRAWE,Td Withdrawer Name 489,2026-05-04,E,J,JOINT_HOLDER,2026-05-04,PAY,100000000489,USD,RA,RO,100000000489,INT,USD,A,G,G,ADVICE_MEDIA_48,EMAIL_489,CU,D,A,A,REASON_CODE_489,8063,462,2026-05-04,12243.800,1071.600,3753.2000,13573.5000,XREF_489,15217.1000,9178.900,24298.8000,A,286025,3.89000,2026-05-04,289717,193551,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-05-04,014,MAI,MAI,MAI,CMA,2.1700,COMME,014,52918,213358,BAE,AUTHORIZE,VAL,M,DESTI,CUST000489,CUST000489,OPERATION_KEY_4,D,D,B,1.36000,2.12000,A,RATE_CODE_,1.23000,M,RETN_,RETN_,196416.00000,600687.00000,6222.9000,NAT,TXN0000000000000489
015,100000000490,PEN,8450,P,5318.200,OFF,100000000490,TRN000000000490,2026-05-05,2026-05-05,TD_DEPOSITER,Td Depositer Name 490,TD_CERT_COLL,Td Cert Collector Name 490,TD_WITHDRAWE,Td Withdrawer Name 490,2026-05-05,E,J,JOINT_HOLDER,2026-05-05,PAY,100000000490,PEN,RA,RO,100000000490,INT,PEN,A,G,G,ADVICE_MEDIA_49,EMAIL_490,CU,D,A,A,REASON_CODE_490,1968,2137,2026-05-05,3954.800,23981.000,24495.1000,13888.0000,XREF_490,23391.7000,7535.600,5330.3000,A,536753,3.43000,2026-05-05,331919,184965,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-05-05,015,MAI,MAI,MAI,CMA,3.2300,COMME,015,681940,684837,BAE,AUTHORIZE,VAL,M,DESTI,CUST000490,CUST000490,OPERATION_KEY_4,D,D,B,1.63000,1.94000,A,RATE_CODE_,2.39000,M,RETN_,RETN_,191729.00000,503186.00000,16908.9000,NAT,TXN0000000000000490
016,100000000491,EUR,914,P,12685.900,OFF,100000000491,TRN000000000491,2026-05-06,2026-05-06,TD_DEPOSITER,Td Depositer Name 491,TD_CERT_COLL,Td Cert Collector Name 491,TD_WITHDRAWE,Td Withdrawer Name 491,2026-05-06,E,J,JOINT_HOLDER,2026-05-06,PAY,100000000491,EUR,RA,RO,100000000491,INT,EUR,A,G,G,ADVICE_MEDIA_49,EMAIL_491,CU,D,A,A,REASON_CODE_491,9705,1353,2026-05-06,3343.300,21564.500,19413.5000,23018.0000,XREF_491,15901.5000,2828.300,17141.0000,A,231477,2.17000,2026-05-06,407339,551030,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-05-06,016,MAI,MAI,MAI,CMA,1.6100,COMME,016,407002,16841,BAE,AUTHORIZE,VAL,M,DESTI,CUST000491,CUST000491,OPERATION_KEY_4,D,D,B,4.16000,4.06000,A,RATE_CODE_,1.65000,M,RETN_,RETN_,320420.00000,268924.00000,2133.0000,NAT,TXN0000000000000491
017,100000000492,BRL,2617,P,13606.100,OFF,100000000492,TRN000000000492,2026-05-07,2026-05-07,TD_DEPOSITER,Td Depositer Name 492,TD_CERT_COLL,Td Cert Collector Name 492,TD_WITHDRAWE,Td Withdrawer Name 492,2026-05-07,E,J,JOINT_HOLDER,2026-05-07,PAY,100000000492,BRL,RA,RO,100000000492,INT,BRL,A,G,G,ADVICE_MEDIA_49,EMAIL_492,CU,D,A,A,REASON_CODE_492,7575,3320,2026-05-07,3912.000,10098.000,10197.5000,12850.2000,XREF_492,3114.9000,4152.700,2905.4000,A,456625,2.01000,2026-05-07,566454,143721,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-05-07,017,MAI,MAI,MAI,CMA,4.1900,COMME,017,146380,11271,BAE,AUTHORIZE,VAL,M,DESTI,CUST000492,CUST000492,OPERATION_KEY_4,D,D,B,2.93000,1.71000,A,RATE_CODE_,0.94000,M,RETN_,RETN_,980332.00000,37510.00000,14530.4000,NAT,TXN0000000000000492
018,100000000493,USD,693,P,4196.400,OFF,100000000493,TRN000000000493,2026-05-08,2026-05-08,TD_DEPOSITER,Td Depositer Name 493,TD_CERT_COLL,Td Cert Collector Name 493,TD_WITHDRAWE,Td Withdrawer Name 493,2026-05-08,E,J,JOINT_HOLDER,2026-05-08,PAY,100000000493,USD,RA,RO,100000000493,INT,USD,A,G,G,ADVICE_MEDIA_49,EMAIL_493,CU,D,A,A,REASON_CODE_493,9857,7884,2026-05-08,7454.900,9333.000,1117.8000,8996.0000,XREF_493,9551.8000,22151.600,24729.1000,A,769080,1.18000,2026-05-08,327401,892003,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-05-08,018,MAI,MAI,MAI,CMA,1.9400,COMME,018,919681,793001,BAE,AUTHORIZE,VAL,M,DESTI,CUST000493,CUST000493,OPERATION_KEY_4,D,D,B,1.22000,3.66000,A,RATE_CODE_,1.17000,M,RETN_,RETN_,105284.00000,552112.00000,14001.8000,NAT,TXN0000000000000493
019,100000000494,PEN,3402,P,4671.600,OFF,100000000494,TRN000000000494,2026-05-09,2026-05-09,TD_DEPOSITER,Td Depositer Name 494,TD_CERT_COLL,Td Cert Collector Name 494,TD_WITHDRAWE,Td Withdrawer Name 494,2026-05-09,E,J,JOINT_HOLDER,2026-05-09,PAY,100000000494,PEN,RA,RO,100000000494,INT,PEN,A,G,G,ADVICE_MEDIA_49,EMAIL_494,CU,D,A,A,REASON_CODE_494,8119,8223,2026-05-09,23239.100,14899.600,3791.4000,24390.4000,XREF_494,19569.4000,19091.800,18747.6000,A,674585,2.66000,2026-05-09,952778,54244,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-05-09,019,MAI,MAI,MAI,CMA,1.2400,COMME,019,167555,279941,BAE,AUTHORIZE,VAL,M,DESTI,CUST000494,CUST000494,OPERATION_KEY_4,D,D,B,1.50000,0.84000,A,RATE_CODE_,1.86000,M,RETN_,RETN_,368738.00000,566800.00000,24225.8000,NAT,TXN0000000000000494
020,100000000495,EUR,9975,P,11768.900,OFF,100000000495,TRN000000000495,2026-05-10,2026-05-10,TD_DEPOSITER,Td Depositer Name 495,TD_CERT_COLL,Td Cert Collector Name 495,TD_WITHDRAWE,Td Withdrawer Name 495,2026-05-10,E,J,JOINT_HOLDER,2026-05-10,PAY,100000000495,EUR,RA,RO,100000000495,INT,EUR,A,G,G,ADVICE_MEDIA_49,EMAIL_495,CU,D,A,A,REASON_CODE_495,3914,8039,2026-05-10,14383.000,20775.800,15606.2000,23999.2000,XREF_495,21753.7000,17072.500,691.2000,A,112156,1.26000,2026-05-10,187695,518801,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-05-10,020,MAI,MAI,MAI,CMA,1.2400,COMME,020,631653,36414,BAE,AUTHORIZE,VAL,M,DESTI,CUST000495,CUST000495,OPERATION_KEY_4,D,D,B,3.48000,2.06000,A,RATE_CODE_,3.38000,M,RETN_,RETN_,391392.00000,111171.00000,18409.3000,NAT,TXN0000000000000495
021,100000000496,BRL,859,P,9965.100,OFF,100000000496,TRN000000000496,2026-05-11,2026-05-11,TD_DEPOSITER,Td Depositer Name 496,TD_CERT_COLL,Td Cert Collector Name 496,TD_WITHDRAWE,Td Withdrawer Name 496,2026-05-11,E,J,JOINT_HOLDER,2026-05-11,PAY,100000000496,BRL,RA,RO,100000000496,INT,BRL,A,G,G,ADVICE_MEDIA_49,EMAIL_496,CU,D,A,A,REASON_CODE_496,4351,9134,2026-05-11,16065.600,23305.400,21421.8000,20286.1000,XREF_496,10086.3000,771.900,5772.9000,A,559055,1.75000,2026-05-11,232780,229666,DOCUME,D,021,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-05-11,021,MAI,MAI,MAI,CMA,4.1400,COMME,021,249803,513245,BAE,AUTHORIZE,VAL,M,DESTI,CUST000496,CUST000496,OPERATION_KEY_4,D,D,B,4.46000,1.13000,A,RATE_CODE_,2.02000,M,RETN_,RETN_,208210.00000,582462.00000,8823.1000,NAT,TXN0000000000000496
022,100000000497,USD,3794,P,10897.100,OFF,100000000497,TRN000000000497,2026-05-12,2026-05-12,TD_DEPOSITER,Td Depositer Name 497,TD_CERT_COLL,Td Cert Collector Name 497,TD_WITHDRAWE,Td Withdrawer Name 497,2026-05-12,E,J,JOINT_HOLDER,2026-05-12,PAY,100000000497,USD,RA,RO,100000000497,INT,USD,A,G,G,ADVICE_MEDIA_49,EMAIL_497,CU,D,A,A,REASON_CODE_497,51,7309,2026-05-12,13525.200,5067.700,21704.5000,23026.4000,XREF_497,21451.3000,8854.500,8884.5000,A,460284,1.29000,2026-05-12,442679,741651,DOCUME,D,022,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-05-12,022,MAI,MAI,MAI,CMA,4.2500,COMME,022,848366,337125,BAE,AUTHORIZE,VAL,M,DESTI,CUST000497,CUST000497,OPERATION_KEY_4,D,D,B,4.22000,2.47000,A,RATE_CODE_,2.29000,M,RETN_,RETN_,57358.00000,182764.00000,1131.5000,NAT,TXN0000000000000497
