BRN,ACC,CALC_ACC,BOOK_ACC,HAS_IS,INT_START_DATE,LAST_IS_DATE,ACC_TYPE,BOOK_BRN,SHOW_BV_IS,BVT_DATE,CHARGE_ACC,BOOK_CCY,CHARGE_CCY,COMBVT_DATE,VERSION_NO,AUTO_ROLLOVER,CLOSE_ON_MATURITY,MOVE_INT_TO_UNCLAIMED,MOVE_PRIC_TO_UNCLAIMED,MATURITY_DATE,PRINC_LIQ_AC,ROLLOVER_TYPE,ROLLOVER_AMT,PRINC_LIQ_BRANCH,NEXT_MATURITY_DATE,HAS_DRCR_ADV,RD_FLAG,RD_AUTO_PMNT_TAKEDOWN,RD_MOVE_MAT_TO_UNCLAIMED,RD_MOVE_FUNDS_ON_OVD,RD_TAKEDOWN_DAYS,RD_TAKEDOWN_MONTHS,RD_TAKEDOWN_YEARS,RD_PAYMENT_ACC,RD_PAYMENT_BRN,RD_PAYMENT_CCY,RD_INSTALLMENT_AMT,RD_PAY_SCHDT,OVERRIDE_AMT_BLOCK,CHG_START_DATE,CHARGE_BRN,REDIRECT_LCY_ENTRIES,PRINC_LIQ_MODE,PRINC_LIQ_CCY,ARCHIVE_DATE,REFERENCE_NO
016,100000000066,100000000066,100000000066,H,2026-03-07,2026-03-07,1,BOO,S,2026-03-07,100000000066,PEN,PEN,2026-03-07,125296,A,C,M,M,2026-03-07,PRINC_LIQ_AC_66,R,2164,016,2026-03-07,C,Y,R,R,R,25,41223,73654,100000000066,RD_,PEN,2844.400,2026-03-07,O,2026-03-07,CHA,R,PRI,PEN,2026-03-07,TRN000000000066
017,100000000067,100000000067,100000000067,H,2026-03-08,2026-03-08,1,BOO,S,2026-03-08,100000000067,EUR,EUR,2026-03-08,156598,A,C,M,M,2026-03-08,PRINC_LIQ_AC_67,R,17942,017,2026-03-08,D,N,R,R,R,30,80247,48153,100000000067,RD_,EUR,20643.800,2026-03-08,O,2026-03-08,CHA,R,PRI,EUR,2026-03-08,TRN000000000067
018,100000000068,100000000068,100000000068,H,2026-03-09,2026-03-09,1,BOO,S,2026-03-09,100000000068,BRL,BRL,2026-03-09,65678,A,C,M,M,2026-03-09,PRINC_LIQ_AC_68,R,8970,018,2026-03-09,C,N,R,R,R,32,21635,93209,100000000068,RD_,BRL,18414.000,2026-03-09,O,2026-03-09,CHA,R,PRI,BRL,2026-03-09,TRN000000000068
019,100000000069,100000000069,100000000069,H,2026-03-10,2026-03-10,1,BOO,S,2026-03-10,100000000069,USD,USD,2026-03-10,827932,A,C,M,M,2026-03-10,PRINC_LIQ_AC_69,R,19116,019,2026-03-10,D,N,R,R,R,19,39216,65401,100000000069,RD_,USD,23592.900,2026-03-10,O,2026-03-10,CHA,R,PRI,USD,2026-03-10,TRN000000000069
020,100000000070,100000000070,100000000070,H,2026-03-11,2026-03-11,1,BOO,S,2026-03-11,100000000070,PEN,PEN,2026-03-11,800395,A,C,M,M,2026-03-11,PRINC_LIQ_AC_70,R,17477,020,2026-03-11,C,N,R,R,R,15,53315,76830,100000000070,RD_,PEN,9594.100,2026-03-11,O,2026-03-11,CHA,R,PRI,PEN,2026-03-11,TRN000000000070
021,100000000071,100000000071,100000000071,H,2026-03-12,2026-03-12,1,BOO,S,2026-03-12,100000000071,EUR,EUR,2026-03-12,966034,A,C,M,M,2026-03-12,PRINC_LIQ_AC_71,R,9125,021,2026-03-12,D,Y,R,R,R,29,79091,76731,100000000071,RD_,EUR,3604.300,2026-03-12,O,2026-03-12,CHA,R,PRI,EUR,2026-03-12,TRN000000000071
022,100000000072,100000000072,100000000072,H,2026-03-13,2026-03-13,1,BOO,S,2026-03-13,100000000072,BRL,BRL,2026-03-13,642794,A,C,M,M,2026-03-13,PRINC_LIQ_AC_72,R,1887,022,2026-03-13,C,N,R,R,R,16,33227,76129,100000000072,RD_,BRL,900.900,2026-03-13,O,2026-03-13,CHA,R,PRI,BRL,2026-03-13,TRN000000000072
023,100000000073,100000000073,100000000073,H,2026-03-14,2026-03-14,1,BOO,S,2026-03-14,100000000073,USD,USD,2026-03-14,86270,A,C,M,M,2026-03-14,PRINC_LIQ_AC_73,R,24955,023,2026-03-14,D,N,R,R,R,5,67494,33716,100000000073,RD_,USD,5083.000,2026-03-14,O,2026-03-14,CHA,R,PRI,USD,2026-03-14,TRN000000000073
024,100000000074,100000000074,100000000074,H,2026-03-15,2026-03-15,1,BOO,S,2026-03-15,100000000074,PEN,PEN,2026-03-15,958021,A,C,M,M,2026-03-15,PRINC_LIQ_AC_74,R,19875,024,2026-03-15,C,N,R,R,R,13,89525,55317,100000000074,RD_,PEN,14146.800,2026-03-15,O,2026-03-15,CHA,R,PRI,PEN,2026-03-15,TRN000000000074
025,100000000075,100000000075,100000000075,H,2026-03-16,2026-03-16,1,BOO,S,2026-03-16,100000000075,EUR,EUR,2026-03-16,626031,A,C,M,M,2026-03-16,PRINC_LIQ_AC_75,R,191878,025,2026-03-16,D,N,R,R,R,35,75443,60841,100000000075,RD_,EUR,35868.000,2026-03-16,O,2026-03-16,CHA,R,PRI,EUR,2026-03-16,TRN000000000075
001,100000000076,100000000076,100000000076,H,2026-03-17,2026-03-17,1,BOO,S,2026-03-17,100000000076,BRL,BRL,2026-03-17,891584,A,C,M,M,2026-03-17,PRINC_LIQ_AC_76,R,22741,001,2026-03-17,C,Y,R,R,R,25,21125,94230,100000000076,RD_,BRL,24427.600,2026-03-17,O,2026-03-17,CHA,R,PRI,BRL,2026-03-17,TRN000000000076
002,100000000077,100000000077,100000000077,H,2026-03-18,2026-03-18,1,BOO,S,2026-03-18,100000000077,USD,USD,2026-03-18,809419,A,C,M,M,2026-03-18,PRINC_LIQ_AC_77,R,7517,002,2026-03-18,D,N,R,R,R,5,67888,13287,100000000077,RD_,USD,2225.100,2026-03-18,O,2026-03-18,CHA,R,PRI,USD,2026-03-18,TRN000000000077
003,100000000078,100000000078,100000000078,H,2026-03-19,2026-03-19,1,BOO,S,2026-03-19,100000000078,PEN,PEN,2026-03-19,218648,A,C,M,M,2026-03-19,PRINC_LIQ_AC_78,R,18331,003,2026-03-19,C,N,R,R,R,27,31502,31959,100000000078,RD_,PEN,23998.800,2026-03-19,O,2026-03-19,CHA,R,PRI,PEN,2026-03-19,TRN000000000078
004,100000000079,100000000079,100000000079,H,2026-03-20,2026-03-20,1,BOO,S,2026-03-20,100000000079,EUR,EUR,2026-03-20,232437,A,C,M,M,2026-03-20,PRINC_LIQ_AC_79,R,20888,004,2026-03-20,D,N,R,R,R,3,42509,74042,100000000079,RD_,EUR,9738.700,2026-03-20,O,2026-03-20,CHA,R,PRI,EUR,2026-03-20,TRN000000000079
005,100000000080,100000000080,100000000080,H,2026-03-21,2026-03-21,1,BOO,S,2026-03-21,100000000080,BRL,BRL,2026-03-21,994607,A,C,M,M,2026-03-21,PRINC_LIQ_AC_80,R,22915,005,2026-03-21,C,N,R,R,R,27,67720,75948,100000000080,RD_,BRL,21904.500,2026-03-21,O,2026-03-21,CHA,R,PRI,BRL,2026-03-21,TRN000000000080
006,100000000081,100000000081,100000000081,H,2026-03-22,2026-03-22,1,BOO,S,2026-03-22,100000000081,USD,USD,2026-03-22,947286,A,C,M,M,2026-03-22,PRINC_LIQ_AC_81,R,10741,006,2026-03-22,D,Y,R,R,R,13,96827,10553,100000000081,RD_,USD,7929.400,2026-03-22,O,2026-03-22,CHA,R,PRI,USD,2026-03-22,TRN000000000081
007,100000000082,100000000082,100000000082,H,2026-03-23,2026-03-23,1,BOO,S,2026-03-23,100000000082,PEN,PEN,2026-03-23,351527,A,C,M,M,2026-03-23,PRINC_LIQ_AC_82,R,13074,007,2026-03-23,C,N,R,R,R,36,51232,46484,100000000082,RD_,PEN,13374.200,2026-03-23,O,2026-03-23,CHA,R,PRI,PEN,2026-03-23,TRN000000000082
008,100000000083,100000000083,100000000083,H,2026-03-24,2026-03-24,1,BOO,S,2026-03-24,100000000083,EUR,EUR,2026-03-24,980491,A,C,M,M,2026-03-24,PRINC_LIQ_AC_83,R,9019,008,2026-03-24,D,N,R,R,R,22,7834,89812,100000000083,RD_,EUR,834.300,2026-03-24,O,2026-03-24,CHA,R,PRI,EUR,2026-03-24,TRN000000000083
009,100000000084,100000000084,100000000084,H,2026-03-25,2026-03-25,1,BOO,S,2026-03-25,100000000084,BRL,BRL,2026-03-25,766107,A,C,M,M,2026-03-25,PRINC_LIQ_AC_84,R,13371,009,2026-03-25,C,N,R,R,R,13,64982,60044,100000000084,RD_,BRL,23536.000,2026-03-25,O,2026-03-25,CHA,R,PRI,BRL,2026-03-25,TRN000000000084
010,100000000085,100000000085,100000000085,H,2026-03-26,2026-03-26,1,BOO,S,2026-03-26,100000000085,USD,USD,2026-03-26,614622,A,C,M,M,2026-03-26,PRINC_LIQ_AC_85,R,11768,010,2026-03-26,D,N,R,R,R,18,14966,10026,100000000085,RD_,USD,11311.900,2026-03-26,O,2026-03-26,CHA,R,PRI,USD,2026-03-26,TRN000000000085
011,100000000086,100000000086,100000000086,H,2026-03-27,2026-03-27,1,BOO,S,2026-03-27,100000000086,PEN,PEN,2026-03-27,983043,A,C,M,M,2026-03-27,PRINC_LIQ_AC_86,R,3019,011,2026-03-27,C,Y,R,R,R,29,47851,10659,100000000086,RD_,PEN,15329.200,2026-03-27,O,2026-03-27,CHA,R,PRI,PEN,2026-03-27,TRN000000000086
012,100000000087,100000000087,100000000087,H,2026-03-28,2026-03-28,1,BOO,S,2026-03-28,100000000087,EUR,EUR,2026-03-28,498319,A,C,M,M,2026-03-28,PRINC_LIQ_AC_87,R,15551,012,2026-03-28,D,N,R,R,R,10,90872,26660,100000000087,RD_,EUR,23798.800,2026-03-28,O,2026-03-28,CHA,R,PRI,EUR,2026-03-28,TRN000000000087
013,100000000088,100000000088,100000000088,H,2026-03-29,2026-03-29,1,BOO,S,2026-03-29,100000000088,BRL,BRL,2026-03-29,301881,A,C,M,M,2026-03-29,PRINC_LIQ_AC_88,R,2359,013,2026-03-29,C,N,R,R,R,5,66755,4916,100000000088,RD_,BRL,8091.200,2026-03-29,O,2026-03-29,CHA,R,PRI,BRL,2026-03-29,TRN000000000088
014,100000000089,100000000089,100000000089,H,2026-03-30,2026-03-30,1,BOO,S,2026-03-30,100000000089,USD,USD,2026-03-30,600565,A,C,M,M,2026-03-30,PRINC_LIQ_AC_89,R,13693,014,2026-03-30,D,N,R,R,R,30,85759,87196,100000000089,RD_,USD,20396.900,2026-03-30,O,2026-03-30,CHA,R,PRI,USD,2026-03-30,TRN000000000089
015,100000000090,100000000090,100000000090,H,2026-03-31,2026-03-31,1,BOO,S,2026-03-31,100000000090,PEN,PEN,2026-03-31,770140,A,C,M,M,2026-03-31,PRINC_LIQ_AC_90,R,19056,015,2026-03-31,C,N,R,R,R,24,97543,96062,100000000090,RD_,PEN,24221.500,2026-03-31,O,2026-03-31,CHA,R,PRI,PEN,2026-03-31,TRN000000000090
016,100000000091,100000000091,100000000091,H,2026-04-01,2026-04-01,1,BOO,S,2026-04-01,100000000091,EUR,EUR,2026-04-01,725015,A,C,M,M,2026-04-01,PRINC_LIQ_AC_91,R,16760,016,2026-04-01,D,Y,R,R,R,17,32903,55007,100000000091,RD_,EUR,16658.800,2026-04-01,O,2026-04-01,CHA,R,PRI,EUR,2026-04-01,TRN000000000091
017,100000000092,100000000092,100000000092,H,2026-04-02,2026-04-02,1,BOO,S,2026-04-02,100000000092,BRL,BRL,2026-04-02,176557,A,C,M,M,2026-04-02,PRINC_LIQ_AC_92,R,2099,017,2026-04-02,C,N,R,R,R,17,26202,23530,100000000092,RD_,BRL,13893.000,2026-04-02,O,2026-04-02,CHA,R,PRI,BRL,2026-04-02,TRN000000000092
018,100000000093,100000000093,100000000093,H,2026-04-03,2026-04-03,1,BOO,S,2026-04-03,100000000093,USD,USD,2026-04-03,25736,A,C,M,M,2026-04-03,PRINC_LIQ_AC_93,R,5232,018,2026-04-03,D,N,R,R,R,29,34893,512,100000000093,RD_,USD,23890.600,2026-04-03,O,2026-04-03,CHA,R,PRI,USD,2026-04-03,TRN000000000093
019,100000000094,100000000094,100000000094,H,2026-04-04,2026-04-04,1,BOO,S,2026-04-04,100000000094,PEN,PEN,2026-04-04,491188,A,C,M,M,2026-04-04,PRINC_LIQ_AC_94,R,3448,019,2026-04-04,C,N,R,R,R,29,85941,84203,100000000094,RD_,PEN,23226.700,2026-04-04,O,2026-04-04,CHA,R,PRI,PEN,2026-04-04,TRN000000000094
020,100000000095,100000000095,100000000095,H,2026-04-05,2026-04-05,1,BOO,S,2026-04-05,100000000095,EUR,EUR,2026-04-05,536762,A,C,M,M,2026-04-05,PRINC_LIQ_AC_95,R,15611,020,2026-04-05,D,N,R,R,R,21,83377,55180,100000000095,RD_,EUR,20149.500,2026-04-05,O,2026-04-05,CHA,R,PRI,EUR,2026-04-05,TRN000000000095
021,100000000096,100000000096,100000000096,H,2026-04-06,2026-04-06,1,BOO,S,2026-04-06,100000000096,BRL,BRL,2026-04-06,139692,A,C,M,M,2026-04-06,PRINC_LIQ_AC_96,R,13210,021,2026-04-06,C,Y,R,R,R,17,97734,39481,100000000096,RD_,BRL,18580.200,2026-04-06,O,2026-04-06,CHA,R,PRI,BRL,2026-04-06,TRN000000000096
022,100000000097,100000000097,100000000097,H,2026-04-07,2026-04-07,1,BOO,S,2026-04-07,100000000097,USD,USD,2026-04-07,666408,A,C,M,M,2026-04-07,PRINC_LIQ_AC_97,R,12487,022,2026-04-07,D,N,R,R,R,21,7380,75339,100000000097,RD_,USD,12319.600,2026-04-07,O,2026-04-07,CHA,R,PRI,USD,2026-04-07,TRN000000000097
023,100000000098,100000000098,100000000098,H,2026-04-08,2026-04-08,1,BOO,S,2026-04-08,100000000098,PEN,PEN,2026-04-08,995546,A,C,M,M,2026-04-08,PRINC_LIQ_AC_98,R,5327,023,2026-04-08,C,N,R,R,R,21,29529,29726,100000000098,RD_,PEN,1287.200,2026-04-08,O,2026-04-08,CHA,R,PRI,PEN,2026-04-08,TRN000000000098
024,100000000099,100000000099,100000000099,H,2026-04-09,2026-04-09,1,BOO,S,2026-04-09,100000000099,EUR,EUR,2026-04-09,802825,A,C,M,M,2026-04-09,PRINC_LIQ_AC_99,R,14226,024,2026-04-09,D,N,R,R,R,0,87879,62236,100000000099,RD_,EUR,4394.500,2026-04-09,O,2026-04-09,CHA,R,PRI,EUR,2026-04-09,TRN000000000099
025,100000000100,100000000100,100000000100,H,2026-04-10,2026-04-10,1,BOO,S,2026-04-10,100000000100,BRL,BRL,2026-04-10,471273,A,C,M,M,2026-04-10,PRINC_LIQ_AC_100,R,15594,025,2026-04-10,C,N,R,R,R,4,34660,38871,100000000100,RD_,BRL,14095.100,2026-04-10,O,2026-04-10,CHA,R,PRI,BRL,2026-04-10,TRN000000000100
001,100000000101,100000000101,100000000101,H,2026-04-11,2026-04-11,1,BOO,S,2026-04-11,100000000101,USD,USD,2026-04-11,213922,A,C,M,M,2026-04-11,PRINC_LIQ_AC_101,R,16036,001,2026-04-11,D,Y,R,R,R,6,92230,42172,100000000101,RD_,USD,16123.600,2026-04-11,O,2026-04-11,CHA,R,PRI,USD,2026-04-11,TRN000000000101
002,100000000102,100000000102,100000000102,H,2026-04-12,2026-04-12,1,BOO,S,2026-04-12,100000000102,PEN,PEN,2026-04-12,578143,A,C,M,M,2026-04-12,PRINC_LIQ_AC_102,R,2657,002,2026-04-12,C,N,R,R,R,14,98716,39592,100000000102,RD_,PEN,138.700,2026-04-12,O,2026-04-12,CHA,R,PRI,PEN,2026-04-12,TRN000000000102
003,100000000103,100000000103,100000000103,H,2026-04-13,2026-04-13,1,BOO,S,2026-04-13,100000000103,EUR,EUR,2026-04-13,290267,A,C,M,M,2026-04-13,PRINC_LIQ_AC_103,R,22577,003,2026-04-13,D,N,R,R,R,11,93096,23767,100000000103,RD_,EUR,18619.200,2026-04-13,O,2026-04-13,CHA,R,PRI,EUR,2026-04-13,TRN000000000103
004,100000000104,100000000104,100000000104,H,2026-04-14,2026-04-14,1,BOO,S,2026-04-14,100000000104,BRL,BRL,2026-04-14,178729,A,C,M,M,2026-04-14,PRINC_LIQ_AC_104,R,13958,004,2026-04-14,C,N,R,R,R,14,88973,22949,100000000104,RD_,BRL,20631.800,2026-04-14,O,2026-04-14,CHA,R,PRI,BRL,2026-04-14,TRN000000000104
005,100000000105,100000000105,100000000105,H,2026-04-15,2026-04-15,1,BOO,S,2026-04-15,100000000105,USD,USD,2026-04-15,544943,A,C,M,M,2026-04-15,PRINC_LIQ_AC_105,R,18254,005,2026-04-15,D,N,R,R,R,23,2125,37762,100000000105,RD_,USD,2664.300,2026-04-15,O,2026-04-15,CHA,R,PRI,USD,2026-04-15,TRN000000000105
006,100000000106,100000000106,100000000106,H,2026-04-16,2026-04-16,1,BOO,S,2026-04-16,100000000106,PEN,PEN,2026-04-16,122132,A,C,M,M,2026-04-16,PRINC_LIQ_AC_106,R,5403,006,2026-04-16,C,Y,R,R,R,8,80542,64402,100000000106,RD_,PEN,11016.700,2026-04-16,O,2026-04-16,CHA,R,PRI,PEN,2026-04-16,TRN000000000106
007,100000000107,100000000107,100000000107,H,2026-04-17,2026-04-17,1,BOO,S,2026-04-17,100000000107,EUR,EUR,2026-04-17,878345,A,C,M,M,2026-04-17,PRINC_LIQ_AC_107,R,170,007,2026-04-17,D,N,R,R,R,17,14326,97779,100000000107,RD_,EUR,17372.700,2026-04-17,O,2026-04-17,CHA,R,PRI,EUR,2026-04-17,TRN000000000107
008,100000000108,100000000108,100000000108,H,2026-04-18,2026-04-18,1,BOO,S,2026-04-18,100000000108,BRL,BRL,2026-04-18,558767,A,C,M,M,2026-04-18,PRINC_LIQ_AC_108,R,20299,008,2026-04-18,C,N,R,R,R,8,21401,35656,100000000108,RD_,BRL,9070.100,2026-04-18,O,2026-04-18,CHA,R,PRI,BRL,2026-04-18,TRN000000000108
009,100000000109,100000000109,100000000109,H,2026-04-19,2026-04-19,1,BOO,S,2026-04-19,100000000109,USD,USD,2026-04-19,740355,A,C,M,M,2026-04-19,PRINC_LIQ_AC_109,R,20607,009,2026-04-19,D,N,R,R,R,14,73404,2427,100000000109,RD_,USD,18104.100,2026-04-19,O,2026-04-19,CHA,R,PRI,USD,2026-04-19,TRN000000000109
010,100000000110,100000000110,100000000110,H,2026-04-20,2026-04-20,1,BOO,S,2026-04-20,100000000110,PEN,PEN,2026-04-20,496328,A,C,M,M,2026-04-20,PRINC_LIQ_AC_110,R,22496,010,2026-04-20,C,N,R,R,R,6,34568,39015,100000000110,RD_,PEN,24676.200,2026-04-20,O,2026-04-20,CHA,R,PRI,PEN,2026-04-20,TRN000000000110
011,100000000111,100000000111,100000000111,H,2026-04-21,2026-04-21,1,BOO,S,2026-04-21,100000000111,EUR,EUR,2026-04-21,53856,A,C,M,M,2026-04-21,PRINC_LIQ_AC_111,R,5423,011,2026-04-21,D,Y,R,R,R,18,60450,63733,100000000111,RD_,EUR,19755.300,2026-04-21,O,2026-04-21,CHA,R,PRI,EUR,2026-04-21,TRN000000000111
012,100000000112,100000000112,100000000112,H,2026-04-22,2026-04-22,1,BOO,S,2026-04-22,100000000112,BRL,BRL,2026-04-22,184934,A,C,M,M,2026-04-22,PRINC_LIQ_AC_112,R,104936,012,2026-04-22,C,N,R,R,R,9,87234,65413,100000000112,RD_,BRL,49249.600,2026-04-22,O,2026-04-22,CHA,R,PRI,BRL,2026-04-22,TRN000000000112
013,100000000113,100000000113,100000000113,H,2026-04-23,2026-04-23,1,BOO,S,2026-04-23,100000000113,USD,USD,2026-04-23,959816,A,C,M,M,2026-04-23,PRINC_LIQ_AC_113,R,2581,013,2026-04-23,D,N,R,R,R,33,67341,15502,100000000113,RD_,USD,16939.000,2026-04-23,O,2026-04-23,CHA,R,PRI,USD,2026-04-23,TRN000000000113
014,100000000114,100000000114,100000000114,H,2026-04-24,2026-04-24,1,BOO,S,2026-04-24,100000000114,PEN,PEN,2026-04-24,463074,A,C,M,M,2026-04-24,PRINC_LIQ_AC_114,R,20034,014,2026-04-24,C,N,R,R,R,18,7408,84556,100000000114,RD_,PEN,15959.000,2026-04-24,O,2026-04-24,CHA,R,PRI,PEN,2026-04-24,TRN000000000114
015,100000000115,100000000115,100000000115,H,2026-04-25,2026-04-25,1,BOO,S,2026-04-25,100000000115,EUR,EUR,2026-04-25,297699,A,C,M,M,2026-04-25,PRINC_LIQ_AC_115,R,14681,015,2026-04-25,D,N,R,R,R,8,15585,33744,100000000115,RD_,EUR,22052.600,2026-04-25,O,2026-04-25,CHA,R,PRI,EUR,2026-04-25,TRN000000000115
016,100000000116,100000000116,100000000116,H,2026-04-26,2026-04-26,1,BOO,S,2026-04-26,100000000116,BRL,BRL,2026-04-26,498403,A,C,M,M,2026-04-26,PRINC_LIQ_AC_116,R,9356,016,2026-04-26,C,Y,R,R,R,35,61175,33255,100000000116,RD_,BRL,15201.200,2026-04-26,O,2026-04-26,CHA,R,PRI,BRL,2026-04-26,TRN000000000116
017,100000000117,100000000117,100000000117,H,2026-04-27,2026-04-27,1,BOO,S,2026-04-27,100000000117,USD,USD,2026-04-27,740052,A,C,M,M,2026-04-27,PRINC_LIQ_AC_117,R,4714,017,2026-04-27,D,N,R,R,R,25,23241,5030,100000000117,RD_,USD,9519.400,2026-04-27,O,2026-04-27,CHA,R,PRI,USD,2026-04-27,TRN000000000117
018,100000000118,100000000118,100000000118,H,2026-04-28,2026-04-28,1,BOO,S,2026-04-28,100000000118,PEN,PEN,2026-04-28,696363,A,C,M,M,2026-04-28,PRINC_LIQ_AC_118,R,14242,018,2026-04-28,C,N,R,R,R,23,75375,50574,100000000118,RD_,PEN,15127.700,2026-04-28,O,2026-04-28,CHA,R,PRI,PEN,2026-04-28,TRN000000000118
019,100000000119,100000000119,100000000119,H,2026-04-29,2026-04-29,1,BOO,S,2026-04-29,100000000119,EUR,EUR,2026-04-29,305161,A,C,M,M,2026-04-29,PRINC_LIQ_AC_119,R,18603,019,2026-04-29,D,N,R,R,R,15,22108,36960,100000000119,RD_,EUR,6156.200,2026-04-29,O,2026-04-29,CHA,R,PRI,EUR,2026-04-29,TRN000000000119
020,100000000120,100000000120,100000000120,H,2026-04-30,2026-04-30,1,BOO,S,2026-04-30,100000000120,BRL,BRL,2026-04-30,289018,A,C,M,M,2026-04-30,PRINC_LIQ_AC_120,R,8039,020,2026-04-30,C,N,R,R,R,28,45154,55820,100000000120,RD_,BRL,23542.200,2026-04-30,O,2026-04-30,CHA,R,PRI,BRL,2026-04-30,TRN000000000120
021,100000000121,100000000121,100000000121,H,2026-05-01,2026-05-01,1,BOO,S,2026-05-01,100000000121,USD,USD,2026-05-01,757037,A,C,M,M,2026-05-01,PRINC_LIQ_AC_121,R,2874,021,2026-05-01,D,Y,R,R,R,28,41823,83400,100000000121,RD_,USD,21921.700,2026-05-01,O,2026-05-01,CHA,R,PRI,USD,2026-05-01,TRN000000000121
022,100000000122,100000000122,100000000122,H,2026-05-02,2026-05-02,1,BOO,S,2026-05-02,100000000122,PEN,PEN,2026-05-02,935805,A,C,M,M,2026-05-02,PRINC_LIQ_AC_122,R,1111,022,2026-05-02,C,N,R,R,R,8,35195,63837,100000000122,RD_,PEN,13466.700,2026-05-02,O,2026-05-02,CHA,R,PRI,PEN,2026-05-02,TRN000000000122
023,100000000123,100000000123,100000000123,H,2026-05-03,2026-05-03,1,BOO,S,2026-05-03,100000000123,EUR,EUR,2026-05-03,943450,A,C,M,M,2026-05-03,PRINC_LIQ_AC_123,R,10595,023,2026-05-03,D,N,R,R,R,27,18039,13820,100000000123,RD_,EUR,16938.700,2026-05-03,O,2026-05-03,CHA,R,PRI,EUR,2026-05-03,TRN000000000123
024,100000000124,100000000124,100000000124,H,2026-05-04,2026-05-04,1,BOO,S,2026-05-04,100000000124,BRL,BRL,2026-05-04,827563,A,C,M,M,2026-05-04,PRINC_LIQ_AC_124,R,12066,024,2026-05-04,C,N,R,R,R,13,59075,15459,100000000124,RD_,BRL,2296.500,2026-05-04,O,2026-05-04,CHA,R,PRI,BRL,2026-05-04,TRN000000000124
025,100000000125,100000000125,100000000125,H,2026-05-05,2026-05-05,1,BOO,S,2026-05-05,100000000125,USD,USD,2026-05-05,776133,A,C,M,M,2026-05-05,PRINC_LIQ_AC_125,R,935,025,2026-05-05,D,N,R,R,R,3,45928,33852,100000000125,RD_,USD,24746.600,2026-05-05,O,2026-05-05,CHA,R,PRI,USD,2026-05-05,TRN000000000125
001,100000000126,100000000126,100000000126,H,2026-05-06,2026-05-06,1,BOO,S,2026-05-06,100000000126,PEN,PEN,2026-05-06,970257,A,C,M,M,2026-05-06,PRINC_LIQ_AC_126,R,11979,001,2026-05-06,C,Y,R,R,R,7,12041,86470,100000000126,RD_,PEN,15351.900,2026-05-06,O,2026-05-06,CHA,R,PRI,PEN,2026-05-06,TRN000000000126
002,100000000127,100000000127,100000000127,H,2026-05-07,2026-05-07,1,BOO,S,2026-05-07,100000000127,EUR,EUR,2026-05-07,833429,A,C,M,M,2026-05-07,PRINC_LIQ_AC_127,R,16885,002,2026-05-07,D,N,R,R,R,19,46582,85871,100000000127,RD_,EUR,20145.700,2026-05-07,O,2026-05-07,CHA,R,PRI,EUR,2026-05-07,TRN000000000127
003,100000000128,100000000128,100000000128,H,2026-05-08,2026-05-08,1,BOO,S,2026-05-08,100000000128,BRL,BRL,2026-05-08,149315,A,C,M,M,2026-05-08,PRINC_LIQ_AC_128,R,6879,003,2026-05-08,C,N,R,R,R,36,25674,15561,100000000128,RD_,BRL,18454.700,2026-05-08,O,2026-05-08,CHA,R,PRI,BRL,2026-05-08,TRN000000000128
004,100000000129,100000000129,100000000129,H,2026-05-09,2026-05-09,1,BOO,S,2026-05-09,100000000129,USD,USD,2026-05-09,947609,A,C,M,M,2026-05-09,PRINC_LIQ_AC_129,R,8490,004,2026-05-09,D,N,R,R,R,20,54587,93952,100000000129,RD_,USD,18418.400,2026-05-09,O,2026-05-09,CHA,R,PRI,USD,2026-05-09,TRN000000000129
005,100000000130,100000000130,100000000130,H,2026-05-10,2026-05-10,1,BOO,S,2026-05-10,100000000130,PEN,PEN,2026-05-10,885050,A,C,M,M,2026-05-10,PRINC_LIQ_AC_130,R,4930,005,2026-05-10,C,N,R,R,R,0,62392,68797,100000000130,RD_,PEN,9175.400,2026-05-10,O,2026-05-10,CHA,R,PRI,PEN,2026-05-10,TRN000000000130
006,100000000131,100000000131,100000000131,H,2026-05-11,2026-05-11,1,BOO,S,2026-05-11,100000000131,EUR,EUR,2026-05-11,717833,A,C,M,M,2026-05-11,PRINC_LIQ_AC_131,R,24662,006,2026-05-11,D,Y,R,R,R,26,69030,87852,100000000131,RD_,EUR,13070.000,2026-05-11,O,2026-05-11,CHA,R,PRI,EUR,2026-05-11,TRN000000000131
007,100000000132,100000000132,100000000132,H,2026-05-12,2026-05-12,1,BOO,S,2026-05-12,100000000132,BRL,BRL,2026-05-12,15113,A,C,M,M,2026-05-12,PRINC_LIQ_AC_132,R,2117,007,2026-05-12,C,N,R,R,R,27,92427,41327,100000000132,RD_,BRL,6159.200,2026-05-12,O,2026-05-12,CHA,R,PRI,BRL,2026-05-12,TRN000000000132
008,100000000133,100000000133,100000000133,H,2026-05-13,2026-05-13,1,BOO,S,2026-05-13,100000000133,USD,USD,2026-05-13,104363,A,C,M,M,2026-05-13,PRINC_LIQ_AC_133,R,18184,008,2026-05-13,D,N,R,R,R,27,99739,22286,100000000133,RD_,USD,11178.100,2026-05-13,O,2026-05-13,CHA,R,PRI,USD,2026-05-13,TRN000000000133
