BRN,ACC,CCY,PAYIN_OPTION,TD_AMOUNT,OFFSET_BRN,TD_OFFSET_ACC,REFERENCE_NO,TENOR,TD_WITHDRAWER_NAME,TD_CERT_PRINT_DT,ENDORSABLE,JOINT_AC_INDICATOR,JOINT_HOLDER,PAYIN_DT,PAYIN_BRN,PAYIN_ACC,PAYIN_CCY,RATE_TYPE,ROLLOVER_INTRT,INT_BOOK_ACC,INT_BOOK_BRN,INT_BOOK_CCY,AUTOLIQD,GEN_MAT_ADV,GEN_RENEWAL_NOT,ADVICE_MEDIA,EMAIL,CREATION_DT,CUSTODY_STAT,DOC_STAT,AC_STAT,AC_BLOCKED,REASON_CODE,LATEST_VERSION_NO,LIQD_DATE,TD_DEPOSITER,TD_DEPOSITER_NAME,TD_CERT_COLLECTOR,TD_CERT_COLLECTOR_NAME,TD_WITHDRAWER,LATEST_EVENT_SEQ_NO,TXN_ID,NEXT_RATE_CHANGE_DT,TD_INT_AMT_READJ_CCY,TD_INT_AMT,TD_MATURITY_AMT,TD_PRN_AMT_READJ_CCY,TD_MAT_AMT_READJ_CCY,ORIGINAL_TD_AMT,ALLOW_PARTIAL_PREPAYMENT,ORIGINAL_TENOR,SPL_COND_INT_RATE,PARTIAL_PREPAID_DATE,CUSTOMER_DCV,DCV_SLIDE_NO,DOCUMENT_NUMBER,DOCUMENT_DIGIT,CONTROL_BRANCH,CTRL_COST_CENTER,TD_CONTROL_EXECUTIVE,TAX_BENEFIT_CODE,DOCUMENT_REGION,OFICINA_CREACION,CREATION_COST_CENTER,TD_CREATION_EXECUTIVE,CREATION_CHANNEL_SYSTEM,CREATION_CHANNEL,LIQD_BRN,LIQD_COST_CENTER,TD_LIQD_EXECUTIVE,LIQD_CHANNEL,CREATION_TRN_CODE,MAINT_DATE,MAINT_BRANCH,MAINT_COST_CENTER,MAINT_EXECUTIVE,MAINT_CHANNEL_SYSTEM,CMAINT_CHANNEL,PREV_RATE,COMMER_COST_CENTER,BAE_BRANCH,BAE_DOC_NUM,BAE_SEQUENTIAL_NUM,BAE_OPERATION_TYPE,AUTHORIZER_RUT_ID,VALUEDATED_DOC_PRNT_BRN,MIG_DOC_MARK,DESTINATION_CODE,DCV_CUSTOMER_NO,CUSTOMER_SECOND_NAME,OPERATION_KEY,DCV_DEPOSIT,DEP_GUARANTEE,BIS57,RATE_VALUE,RATE_SPREAD,AUTH_RATE,RATE_CODE,SPL_COND_TAX_RATE,MOVE_DORMANCY,RETN_DAYS,RETN_TYPE,INPUT_TAX_AMT,CUST_NEG,CUST_NEG_VIEW,PREV_TD_INT_AMT_READJ_CCY,NATIONALITY,ARCHIVE_DATE
002,100000000377,USD,P,24365.400,OFF,100000000377,TRN000000000377,4141,Td Withdrawer Name 377,2026-01-12,E,J,JOINT_HOLDER,2026-01-12,PAY,100000000377,USD,RA,RO,100000000377,INT,USD,A,G,GE,ADVICE_MEDIA_37,EMAIL_377,2026-01-12,CU,D,A,A,REASON_CODE_377,LATE,2026-01-12,TD_DEPOSITER,Td Depositer Name 377,TD_CERT_COLL,Td Cert Collector Name 377,TD_WITHDRAWE,1075,TXN0000000000000377,2026-01-12,23410.0000,9815.100,3288.200,12264.9000,9425.4000,7275.300,A,545434,4.01000,2026-01-12,725566,217644,DOCUME,D,002,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-12,002,MAI,MAI,MAI,CMA,2.7500,COMME,002,22592,915013,BAE,AUTHORIZE,VAL,M,DESTI,CUST000377,CUST000377,OPERATION_KEY_3,D,D,B,2.79000,3.69000,A,RATE_CODE_,2.37000,M,RETN_,RETN_,11302.200,251707.00000,187792.00000,23808.7000,NAT,2026-01-12
003,100000000378,PEN,P,6409.300,OFF,100000000378,TRN000000000378,3591,Td Withdrawer Name 378,2026-01-13,E,J,JOINT_HOLDER,2026-01-13,PAY,100000000378,PEN,RA,RO,100000000378,INT,PEN,A,G,GE,ADVICE_MEDIA_37,EMAIL_378,2026-01-13,CU,D,A,A,REASON_CODE_378,LATE,2026-01-13,TD_DEPOSITER,Td Depositer Name 378,TD_CERT_COLL,Td Cert Collector Name 378,TD_WITHDRAWE,3884,TXN0000000000000378,2026-01-13,7319.2000,11142.600,3994.000,12786.2000,958.0000,19092.800,A,931066,3.08000,2026-01-13,71279,765575,DOCUME,D,003,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-13,003,MAI,MAI,MAI,CMA,4.0700,COMME,003,301681,819359,BAE,AUTHORIZE,VAL,M,DESTI,CUST000378,CUST000378,OPERATION_KEY_3,D,D,B,1.05000,4.04000,A,RATE_CODE_,2.04000,M,RETN_,RETN_,942.100,566484.00000,780305.00000,17163.3000,NAT,2026-01-13
004,100000000379,EUR,P,23753.300,OFF,100000000379,TRN000000000379,676,Td Withdrawer Name 379,2026-01-14,E,J,JOINT_HOLDER,2026-01-14,PAY,100000000379,EUR,RA,RO,100000000379,INT,EUR,A,G,GE,ADVICE_MEDIA_37,EMAIL_379,2026-01-14,CU,D,A,A,REASON_CODE_379,LATE,2026-01-14,TD_DEPOSITER,Td Depositer Name 379,TD_CERT_COLL,Td Cert Collector Name 379,TD_WITHDRAWE,7398,TXN0000000000000379,2026-01-14,17752.0000,10790.100,18101.800,4811.9000,24097.7000,7682.900,A,634845,3.03000,2026-01-14,755965,218763,DOCUME,D,004,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-14,004,MAI,MAI,MAI,CMA,1.8200,COMME,004,114059,680636,BAE,AUTHORIZE,VAL,M,DESTI,CUST000379,CUST000379,OPERATION_KEY_3,D,D,B,2.43000,4.23000,A,RATE_CODE_,3.69000,M,RETN_,RETN_,12354.300,903874.00000,936066.00000,5036.3000,NAT,2026-01-14
005,100000000380,BRL,P,11158.800,OFF,100000000380,TRN000000000380,8180,Td Withdrawer Name 380,2026-01-15,E,J,JOINT_HOLDER,2026-01-15,PAY,100000000380,BRL,RA,RO,100000000380,INT,BRL,A,G,GE,ADVICE_MEDIA_38,EMAIL_380,2026-01-15,CU,D,A,A,REASON_CODE_380,LATE,2026-01-15,TD_DEPOSITER,Td Depositer Name 380,TD_CERT_COLL,Td Cert Collector Name 380,TD_WITHDRAWE,2112,TXN0000000000000380,2026-01-15,4147.0000,3669.600,8221.400,3815.6000,13382.2000,13856.000,A,844814,3.26000,2026-01-15,676259,731737,DOCUME,D,005,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-15,005,MAI,MAI,MAI,CMA,2.2100,COMME,005,628581,616153,BAE,AUTHORIZE,VAL,M,DESTI,CUST000380,CUST000380,OPERATION_KEY_3,D,D,B,3.59000,1.73000,A,RATE_CODE_,2.41000,M,RETN_,RETN_,9318.100,171185.00000,452475.00000,11894.8000,NAT,2026-01-15
006,100000000381,USD,P,22849.400,OFF,100000000381,TRN000000000381,4239,Td Withdrawer Name 381,2026-01-16,E,J,JOINT_HOLDER,2026-01-16,PAY,100000000381,USD,RA,RO,100000000381,INT,USD,A,G,GE,ADVICE_MEDIA_38,EMAIL_381,2026-01-16,CU,D,A,A,REASON_CODE_381,LATE,2026-01-16,TD_DEPOSITER,Td Depositer Name 381,TD_CERT_COLL,Td Cert Collector Name 381,TD_WITHDRAWE,12,TXN0000000000000381,2026-01-16,17159.3000,9108.100,20345.400,21962.2000,13659.3000,24977.100,A,998126,1.77000,2026-01-16,186368,284128,DOCUME,D,006,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-16,006,MAI,MAI,MAI,CMA,2.7100,COMME,006,885356,529312,BAE,AUTHORIZE,VAL,M,DESTI,CUST000381,CUST000381,OPERATION_KEY_3,D,D,B,1.04000,4.18000,A,RATE_CODE_,4.34000,M,RETN_,RETN_,8034.700,324457.00000,238085.00000,12216.1000,NAT,2026-01-16
007,100000000382,PEN,P,9891.000,OFF,100000000382,TRN000000000382,9545,Td Withdrawer Name 382,2026-01-17,E,J,JOINT_HOLDER,2026-01-17,PAY,100000000382,PEN,RA,RO,100000000382,INT,PEN,A,G,GE,ADVICE_MEDIA_38,EMAIL_382,2026-01-17,CU,D,A,A,REASON_CODE_382,LATE,2026-01-17,TD_DEPOSITER,Td Depositer Name 382,TD_CERT_COLL,Td Cert Collector Name 382,TD_WITHDRAWE,4571,TXN0000000000000382,2026-01-17,3963.8000,8772.500,923.300,10711.5000,4230.8000,21955.900,A,553846,2.80000,2026-01-17,203579,649122,DOCUME,D,007,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-17,007,MAI,MAI,MAI,CMA,3.6900,COMME,007,333849,758729,BAE,AUTHORIZE,VAL,M,DESTI,CUST000382,CUST000382,OPERATION_KEY_3,D,D,B,3.13000,3.51000,A,RATE_CODE_,1.36000,M,RETN_,RETN_,11934.000,24219.00000,782212.00000,23496.0000,NAT,2026-01-17
008,100000000383,EUR,P,10022.000,OFF,100000000383,TRN000000000383,6036,Td Withdrawer Name 383,2026-01-18,E,J,JOINT_HOLDER,2026-01-18,PAY,100000000383,EUR,RA,RO,100000000383,INT,EUR,A,G,GE,ADVICE_MEDIA_38,EMAIL_383,2026-01-18,CU,D,A,A,REASON_CODE_383,LATE,2026-01-18,TD_DEPOSITER,Td Depositer Name 383,TD_CERT_COLL,Td Cert Collector Name 383,TD_WITHDRAWE,47,TXN0000000000000383,2026-01-18,22632.3000,18220.700,4907.700,6208.6000,5032.9000,19034.300,A,187527,2.48000,2026-01-18,706801,363406,DOCUME,D,008,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-18,008,MAI,MAI,MAI,CMA,3.0200,COMME,008,54716,414578,BAE,AUTHORIZE,VAL,M,DESTI,CUST000383,CUST000383,OPERATION_KEY_3,D,D,B,2.97000,2.52000,A,RATE_CODE_,3.63000,M,RETN_,RETN_,19321.300,877684.00000,910961.00000,6490.8000,NAT,2026-01-18
009,100000000384,BRL,P,21436.400,OFF,100000000384,TRN000000000384,8313,Td Withdrawer Name 384,2026-01-19,E,J,JOINT_HOLDER,2026-01-19,PAY,100000000384,BRL,RA,RO,100000000384,INT,BRL,A,G,GE,ADVICE_MEDIA_38,EMAIL_384,2026-01-19,CU,D,A,A,REASON_CODE_384,LATE,2026-01-19,TD_DEPOSITER,Td Depositer Name 384,TD_CERT_COLL,Td Cert Collector Name 384,TD_WITHDRAWE,863,TXN0000000000000384,2026-01-19,2386.4000,3353.800,11708.600,7123.8000,9413.0000,6588.600,A,464556,1.48000,2026-01-19,641606,22240,DOCUME,D,009,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-19,009,MAI,MAI,MAI,CMA,1.5100,COMME,009,309473,946428,BAE,AUTHORIZE,VAL,M,DESTI,CUST000384,CUST000384,OPERATION_KEY_3,D,D,B,2.59000,2.56000,A,RATE_CODE_,2.54000,M,RETN_,RETN_,5803.700,68783.00000,667659.00000,18234.6000,NAT,2026-01-19
010,100000000385,USD,P,2938.900,OFF,100000000385,TRN000000000385,1641,Td Withdrawer Name 385,2026-01-20,E,J,JOINT_HOLDER,2026-01-20,PAY,100000000385,USD,RA,RO,100000000385,INT,USD,A,G,GE,ADVICE_MEDIA_38,EMAIL_385,2026-01-20,CU,D,A,A,REASON_CODE_385,LATE,2026-01-20,TD_DEPOSITER,Td Depositer Name 385,TD_CERT_COLL,Td Cert Collector Name 385,TD_WITHDRAWE,2714,TXN0000000000000385,2026-01-20,13872.5000,22672.500,13992.200,22749.0000,1201.4000,10304.500,A,648525,2.77000,2026-01-20,811105,551504,DOCUME,D,010,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-20,010,MAI,MAI,MAI,CMA,3.0400,COMME,010,298879,829075,BAE,AUTHORIZE,VAL,M,DESTI,CUST000385,CUST000385,OPERATION_KEY_3,D,D,B,0.99000,3.19000,A,RATE_CODE_,2.32000,M,RETN_,RETN_,3056.100,767790.00000,402761.00000,7020.1000,NAT,2026-01-20
011,100000000386,PEN,P,19718.600,OFF,100000000386,TRN000000000386,8035,Td Withdrawer Name 386,2026-01-21,E,J,JOINT_HOLDER,2026-01-21,PAY,100000000386,PEN,RA,RO,100000000386,INT,PEN,A,G,GE,ADVICE_MEDIA_38,EMAIL_386,2026-01-21,CU,D,A,A,REASON_CODE_386,LATE,2026-01-21,TD_DEPOSITER,Td Depositer Name 386,TD_CERT_COLL,Td Cert Collector Name 386,TD_WITHDRAWE,9027,TXN0000000000000386,2026-01-21,21024.3000,23741.600,24226.700,18998.3000,17652.6000,11575.400,A,260929,1.13000,2026-01-21,76089,826165,DOCUME,D,011,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-21,011,MAI,MAI,MAI,CMA,3.8500,COMME,011,188513,593787,BAE,AUTHORIZE,VAL,M,DESTI,CUST000386,CUST000386,OPERATION_KEY_3,D,D,B,2.21000,3.06000,A,RATE_CODE_,3.30000,M,RETN_,RETN_,14666.800,937681.00000,224990.00000,20148.6000,NAT,2026-01-21
012,100000000387,EUR,P,10607.700,OFF,100000000387,TRN000000000387,2058,Td Withdrawer Name 387,2026-01-22,E,J,JOINT_HOLDER,2026-01-22,PAY,100000000387,EUR,RA,RO,100000000387,INT,EUR,A,G,GE,ADVICE_MEDIA_38,EMAIL_387,2026-01-22,CU,D,A,A,REASON_CODE_387,LATE,2026-01-22,TD_DEPOSITER,Td Depositer Name 387,TD_CERT_COLL,Td Cert Collector Name 387,TD_WITHDRAWE,1342,TXN0000000000000387,2026-01-22,15747.4000,5495.600,10137.700,4168.2000,10834.1000,10161.700,A,347503,1.88000,2026-01-22,998467,466290,DOCUME,D,012,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-22,012,MAI,MAI,MAI,CMA,1.9200,COMME,012,537025,726499,BAE,AUTHORIZE,VAL,M,DESTI,CUST000387,CUST000387,OPERATION_KEY_3,D,D,B,2.48000,3.82000,A,RATE_CODE_,4.05000,M,RETN_,RETN_,19389.600,665956.00000,691417.00000,19787.2000,NAT,2026-01-22
013,100000000388,BRL,P,15833.000,OFF,100000000388,TRN000000000388,4075,Td Withdrawer Name 388,2026-01-23,E,J,JOINT_HOLDER,2026-01-23,PAY,100000000388,BRL,RA,RO,100000000388,INT,BRL,A,G,GE,ADVICE_MEDIA_38,EMAIL_388,2026-01-23,CU,D,A,A,REASON_CODE_388,LATE,2026-01-23,TD_DEPOSITER,Td Depositer Name 388,TD_CERT_COLL,Td Cert Collector Name 388,TD_WITHDRAWE,9634,TXN0000000000000388,2026-01-23,11296.0000,11849.300,22524.600,1766.1000,7490.7000,18947.900,A,486564,1.10000,2026-01-23,689569,533618,DOCUME,D,013,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-23,013,MAI,MAI,MAI,CMA,1.0800,COMME,013,722249,662200,BAE,AUTHORIZE,VAL,M,DESTI,CUST000388,CUST000388,OPERATION_KEY_3,D,D,B,2.89000,2.18000,A,RATE_CODE_,2.46000,M,RETN_,RETN_,1068.500,397743.00000,755611.00000,4839.7000,NAT,2026-01-23
014,100000000389,USD,P,19658.000,OFF,100000000389,TRN000000000389,3944,Td Withdrawer Name 389,2026-01-24,E,J,JOINT_HOLDER,2026-01-24,PAY,100000000389,USD,RA,RO,100000000389,INT,USD,A,G,GE,ADVICE_MEDIA_38,EMAIL_389,2026-01-24,CU,D,A,A,REASON_CODE_389,LATE,2026-01-24,TD_DEPOSITER,Td Depositer Name 389,TD_CERT_COLL,Td Cert Collector Name 389,TD_WITHDRAWE,5473,TXN0000000000000389,2026-01-24,16359.4000,6218.000,21371.200,6811.0000,12075.8000,21366.000,A,804742,2.41000,2026-01-24,607293,680886,DOCUME,D,014,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-01-24,014,MAI,MAI,MAI,CMA,2.5200,COMME,014,452615,406584,BAE,AUTHORIZE,VAL,M,DESTI,CUST000389,CUST000389,OPERATION_KEY_3,D,D,B,2.06000,3.24000,A,RATE_CODE_,2.82000,M,RETN_,RETN_,9152.400,792137.00000,550536.00000,16722.1000,NAT,2026-01-24
015,100000000390,PEN,P,10569.300,OFF,100000000390,TRN000000000390,4068,Td Withdrawer Name 390,2026-01-25,E,J,JOINT_HOLDER,2026-01-25,PAY,100000000390,PEN,RA,RO,100000000390,INT,PEN,A,G,GE,ADVICE_MEDIA_39,EMAIL_390,2026-01-25,CU,D,A,A,REASON_CODE_390,LATE,2026-01-25,TD_DEPOSITER,Td Depositer Name 390,TD_CERT_COLL,Td Cert Collector Name 390,TD_WITHDRAWE,831,TXN0000000000000390,2026-01-25,18565.7000,6249.000,10161.300,12002.7000,8403.3000,7242.500,A,443358,2.40000,2026-01-25,703444,496801,DOCUME,D,015,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-01-25,015,MAI,MAI,MAI,CMA,2.6300,COMME,015,226192,185762,BAE,AUTHORIZE,VAL,M,DESTI,CUST000390,CUST000390,OPERATION_KEY_3,D,D,B,3.24000,4.20000,A,RATE_CODE_,3.30000,M,RETN_,RETN_,19758.000,116136.00000,250456.00000,6028.1000,NAT,2026-01-25
016,100000000391,EUR,P,17680.500,OFF,100000000391,TRN000000000391,785,Td Withdrawer Name 391,2026-01-26,E,J,JOINT_HOLDER,2026-01-26,PAY,100000000391,EUR,RA,RO,100000000391,INT,EUR,A,G,GE,ADVICE_MEDIA_39,EMAIL_391,2026-01-26,CU,D,A,A,REASON_CODE_391,LATE,2026-01-26,TD_DEPOSITER,Td Depositer Name 391,TD_CERT_COLL,Td Cert Collector Name 391,TD_WITHDRAWE,1324,TXN0000000000000391,2026-01-26,14152.0000,2209.900,20899.500,19822.9000,17761.5000,21990.000,A,989710,2.94000,2026-01-26,281081,145641,DOCUME,D,016,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-01-26,016,MAI,MAI,MAI,CMA,1.2900,COMME,016,22260,583509,BAE,AUTHORIZE,VAL,M,DESTI,CUST000391,CUST000391,OPERATION_KEY_3,D,D,B,4.18000,4.48000,A,RATE_CODE_,1.21000,M,RETN_,RETN_,10616.800,188269.00000,973249.00000,21530.1000,NAT,2026-01-26
017,100000000392,BRL,P,22309.700,OFF,100000000392,TRN000000000392,4297,Td Withdrawer Name 392,2026-01-27,E,J,JOINT_HOLDER,2026-01-27,PAY,100000000392,BRL,RA,RO,100000000392,INT,BRL,A,G,GE,ADVICE_MEDIA_39,EMAIL_392,2026-01-27,CU,D,A,A,REASON_CODE_392,LATE,2026-01-27,TD_DEPOSITER,Td Depositer Name 392,TD_CERT_COLL,Td Cert Collector Name 392,TD_WITHDRAWE,9457,TXN0000000000000392,2026-01-27,8210.1000,19351.900,20370.400,12435.5000,21098.6000,21031.500,A,516475,2.41000,2026-01-27,518383,280288,DOCUME,D,017,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,PAY,2026-01-27,017,MAI,MAI,MAI,CMA,2.9100,COMME,017,970644,947877,BAE,AUTHORIZE,VAL,M,DESTI,CUST000392,CUST000392,OPERATION_KEY_3,D,D,B,1.72000,3.31000,A,RATE_CODE_,1.01000,M,RETN_,RETN_,7935.100,763603.00000,163425.00000,697.7000,NAT,2026-01-27
018,100000000393,USD,P,6602.200,OFF,100000000393,TRN000000000393,4679,Td Withdrawer Name 393,2026-01-28,E,J,JOINT_HOLDER,2026-01-28,PAY,100000000393,USD,RA,RO,100000000393,INT,USD,A,G,GE,ADVICE_MEDIA_39,EMAIL_393,2026-01-28,CU,D,A,A,REASON_CODE_393,LATE,2026-01-28,TD_DEPOSITER,Td Depositer Name 393,TD_CERT_COLL,Td Cert Collector Name 393,TD_WITHDRAWE,5307,TXN0000000000000393,2026-01-28,13452.4000,5103.500,23691.700,23212.6000,2388.6000,16734.800,A,411002,2.14000,2026-01-28,328798,480579,DOCUME,D,018,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,ATM,2026-01-28,018,MAI,MAI,MAI,CMA,3.7600,COMME,018,315885,219890,BAE,AUTHORIZE,VAL,M,DESTI,CUST000393,CUST000393,OPERATION_KEY_3,D,D,B,1.24000,1.75000,A,RATE_CODE_,1.09000,M,RETN_,RETN_,18175.400,201502.00000,836282.00000,12652.5000,NAT,2026-01-28
019,100000000394,PEN,P,414.600,OFF,100000000394,TRN000000000394,9269,Td Withdrawer Name 394,2026-01-29,E,J,JOINT_HOLDER,2026-01-29,PAY,100000000394,PEN,RA,RO,100000000394,INT,PEN,A,G,GE,ADVICE_MEDIA_39,EMAIL_394,2026-01-29,CU,D,A,A,REASON_CODE_394,LATE,2026-01-29,TD_DEPOSITER,Td Depositer Name 394,TD_CERT_COLL,Td Cert Collector Name 394,TD_WITHDRAWE,8355,TXN0000000000000394,2026-01-29,24335.3000,3264.200,14236.900,6263.5000,23721.4000,20909.200,A,791503,1.48000,2026-01-29,697923,754292,DOCUME,D,019,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,DEP,2026-01-29,019,MAI,MAI,MAI,CMA,3.5500,COMME,019,540797,49366,BAE,AUTHORIZE,VAL,M,DESTI,CUST000394,CUST000394,OPERATION_KEY_3,D,D,B,2.76000,4.12000,A,RATE_CODE_,2.16000,M,RETN_,RETN_,1811.600,730420.00000,293890.00000,20717.4000,NAT,2026-01-29
020,100000000395,EUR,P,8383.300,OFF,100000000395,TRN000000000395,3486,Td Withdrawer Name 395,2026-01-30,E,J,JOINT_HOLDER,2026-01-30,PAY,100000000395,EUR,RA,RO,100000000395,INT,EUR,A,G,GE,ADVICE_MEDIA_39,EMAIL_395,2026-01-30,CU,D,A,A,REASON_CODE_395,LATE,2026-01-30,TD_DEPOSITER,Td Depositer Name 395,TD_CERT_COLL,Td Cert Collector Name 395,TD_WITHDRAWE,8924,TXN0000000000000395,2026-01-30,8038.4000,10003.200,15290.300,15468.3000,8661.0000,2034.600,A,570755,2.02000,2026-01-30,56701,769928,DOCUME,D,020,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,WDR,2026-01-30,020,MAI,MAI,MAI,CMA,2.5700,COMME,020,633435,681556,BAE,AUTHORIZE,VAL,M,DESTI,CUST000395,CUST000395,OPERATION_KEY_3,D,D,B,1.71000,3.12000,A,RATE_CODE_,2.83000,M,RETN_,RETN_,20996.700,236520.00000,749437.00000,19870.4000,NAT,2026-01-30
021,100000000396,BRL,P,11448.100,OFF,100000000396,TRN000000000396,4819,Td Withdrawer Name 396,2026-01-31,E,J,JOINT_HOLDER,2026-01-31,PAY,100000000396,BRL,RA,RO,100000000396,INT,BRL,A,G,GE,ADVICE_MEDIA_39,EMAIL_396,2026-01-31,CU,D,A,A,REASON_CODE_396,LATE,2026-01-31,TD_DEPOSITER,Td Depositer Name 396,TD_CERT_COLL,Td Cert Collector Name 396,TD_WITHDRAWE,4447,TXN0000000000000396,2026-01-31,18995.4000,23430.200,289.400,12732.0000,17306.1000,15081.700,A,247052,3.02000,2026-01-31,432819,759688,DOCUME,D,021,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,TRF,2026-01-31,021,MAI,MAI,MAI,CMA,1.1200,COMME,021,37928,481325,BAE,AUTHORIZE,VAL,M,DESTI,CUST000396,CUST000396,OPERATION_KEY_3,D,D,B,1.84000,2.85000,A,RATE_CODE_,4.34000,M,RETN_,RETN_,6349.500,705590.00000,414575.00000,5115.7000,NAT,2026-01-31
022,100000000397,USD,P,17850.000,OFF,100000000397,TRN000000000397,2669,Td Withdrawer Name 397,2026-02-01,E,J,JOINT_HOLDER,2026-02-01,PAY,100000000397,USD,RA,RO,100000000397,INT,USD,A,G,GE,ADVICE_MEDIA_39,EMAIL_397,2026-02-01,CU,D,A,A,REASON_CODE_397,LATE,2026-02-01,TD_DEPOSITER,Td Depositer Name 397,TD_CERT_COLL,Td Cert Collector Name 397,TD_WITHDRAWE,9343,TXN0000000000000397,2026-02-01,18488.6000,19431.400,18130.700,23330.8000,8423.7000,20139.600,A,2547,1.52000,2026-02-01,965568,816128,DOCUME,D,022,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,FEE,2026-02-01,022,MAI,MAI,MAI,CMA,3.4300,COMME,022,750846,189293,BAE,AUTHORIZE,VAL,M,DESTI,CUST000397,CUST000397,OPERATION_KEY_3,D,D,B,3.96000,2.56000,A,RATE_CODE_,1.67000,M,RETN_,RETN_,11416.400,67257.00000,742889.00000,18270.0000,NAT,2026-02-01
023,100000000398,PEN,P,22576.700,OFF,100000000398,TRN000000000398,4537,Td Withdrawer Name 398,2026-02-02,E,J,JOINT_HOLDER,2026-02-02,PAY,100000000398,PEN,RA,RO,100000000398,INT,PEN,A,G,GE,ADVICE_MEDIA_39,EMAIL_398,2026-02-02,CU,D,A,A,REASON_CODE_398,LATE,2026-02-02,TD_DEPOSITER,Td Depositer Name 398,TD_CERT_COLL,Td Cert Collector Name 398,TD_WITHDRAWE,3073,TXN0000000000000398,2026-02-02,3215.7000,2246.400,7050.500,1512.2000,5477.7000,9434.400,A,71063,1.59000,2026-02-02,299701,44533,DOCUME,D,023,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,INT,2026-02-02,023,MAI,MAI,MAI,CMA,2.9100,COMME,023,492838,755814,BAE,AUTHORIZE,VAL,M,DESTI,CUST000398,CUST000398,OPERATION_KEY_3,D,D,B,3.57000,2.96000,A,RATE_CODE_,2.61000,M,RETN_,RETN_,13205.000,790282.00000,141558.00000,15545.2000,NAT,2026-02-02
024,100000000399,EUR,P,18404.500,OFF,100000000399,TRN000000000399,904,Td Withdrawer Name 399,2026-02-03,E,J,JOINT_HOLDER,2026-02-03,PAY,100000000399,EUR,RA,RO,100000000399,INT,EUR,A,G,GE,ADVICE_MEDIA_39,EMAIL_399,2026-02-03,CU,D,A,A,REASON_CODE_399,LATE,2026-02-03,TD_DEPOSITER,Td Depositer Name 399,TD_CERT_COLL,Td Cert Collector Name 399,TD_WITHDRAWE,7424,TXN0000000000000399,2026-02-03,17506.2000,5872.800,2243.800,5983.5000,15056.4000,23485.800,A,146959,3.09000,2026-02-03,111710,933665,DOCUME,D,024,CTR,TD_,T,DO,OFI,CRE,TD_,CRE,CRE,LIQ,LIQ,TD_,LIQ,REV,2026-02-03,024,MAI,MAI,MAI,CMA,2.2100,COMME,024,62705,566395,BAE,AUTHORIZE,VAL,M,DESTI,CUST000399,CUST000399,OPERATION_KEY_3,D,D,B,2.55000,0.90000,A,RATE_CODE_,1.86000,M,RETN_,RETN_,3144.600,467650.00000,679709.00000,3888.2000,NAT,2026-02-03
