REFERENCE_NO,EVENT_SEQ_NO,INSTRUMENT_NO_1,INSTRUMENT_NO_2,VAL_DATE_BNK,VAL_DATE_CUST,BANK_CODE,BRANCH_CODE,SECTOR_CODE,ROUTING_NO,END_POINT,INSTRUMENT_AMT,LOCAL_CLEARING,DOCUMENT_TYPE,VAL_DATE_BNK_OLD,VAL_DATE_CUST_OLD,ROUTING_NO_OLD,ADDL_RETENTION_DAYS,INSTRUMENT_DATE,REM_ACCOUNT,REM_CUST,REVERSED,HOUSE_LOCATION,DOC_TRACK_NUM,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,DATA_8,DATA_9,CBII_INFO,BATCH_REF_NO,TRN_CODE_TRANS,TXN_ID,SAV_CODE,SAV_VAL_STAT
TRN000000000599,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-22,2026-08-22,BANK_CODE,024,SECTOR_CO,ROUTING_NO_599,END_POINT,23583.500,L,DOCUMENT_TYPE_599,2026-08-22,2026-08-22,ROUTING_NO_OLD_599,28,2026-08-22,100000000599,REM_CUST_599,N,HOUS,DOC_TRACK_NUM_5,DATA_1_599,DATA_2_599,DATA_3_599,DATA_4_599,DATA_5_599,DATA_6_599,DATA_7_599,DATA_8_599,DATA_9_599,C,BATCH_REF_NO_599,REV,TXN0000000000000599,SAV_,S
TRN000000000600,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-23,2026-08-23,BANK_CODE,025,SECTOR_CO,ROUTING_NO_600,END_POINT,19060.800,L,DOCUMENT_TYPE_600,2026-08-23,2026-08-23,ROUTING_NO_OLD_600,36,2026-08-23,100000000600,REM_CUST_600,N,HOUS,DOC_TRACK_NUM_6,DATA_1_600,DATA_2_600,DATA_3_600,DATA_4_600,DATA_5_600,DATA_6_600,DATA_7_600,DATA_8_600,DATA_9_600,C,BATCH_REF_NO_600,PAY,TXN0000000000000600,SAV_,S
TRN000000000601,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-24,2026-08-24,BANK_CODE,001,SECTOR_CO,ROUTING_NO_601,END_POINT,9602.900,L,DOCUMENT_TYPE_601,2026-08-24,2026-08-24,ROUTING_NO_OLD_601,31,2026-08-24,100000000601,REM_CUST_601,N,HOUS,DOC_TRACK_NUM_6,DATA_1_601,DATA_2_601,DATA_3_601,DATA_4_601,DATA_5_601,DATA_6_601,DATA_7_601,DATA_8_601,DATA_9_601,C,BATCH_REF_NO_601,ATM,TXN0000000000000601,SAV_,S
TRN000000000602,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-25,2026-08-25,BANK_CODE,002,SECTOR_CO,ROUTING_NO_602,END_POINT,16785.500,L,DOCUMENT_TYPE_602,2026-08-25,2026-08-25,ROUTING_NO_OLD_602,11,2026-08-25,100000000602,REM_CUST_602,N,HOUS,DOC_TRACK_NUM_6,DATA_1_602,DATA_2_602,DATA_3_602,DATA_4_602,DATA_5_602,DATA_6_602,DATA_7_602,DATA_8_602,DATA_9_602,C,BATCH_REF_NO_602,DEP,TXN0000000000000602,SAV_,S
TRN000000000603,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-26,2026-08-26,BANK_CODE,003,SECTOR_CO,ROUTING_NO_603,END_POINT,1344.800,L,DOCUMENT_TYPE_603,2026-08-26,2026-08-26,ROUTING_NO_OLD_603,10,2026-08-26,100000000603,REM_CUST_603,N,HOUS,DOC_TRACK_NUM_6,DATA_1_603,DATA_2_603,DATA_3_603,DATA_4_603,DATA_5_603,DATA_6_603,DATA_7_603,DATA_8_603,DATA_9_603,C,BATCH_REF_NO_603,WDR,TXN0000000000000603,SAV_,S
TRN000000000604,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-27,2026-08-27,BANK_CODE,004,SECTOR_CO,ROUTING_NO_604,END_POINT,10300.800,L,DOCUMENT_TYPE_604,2026-08-27,2026-08-27,ROUTING_NO_OLD_604,16,2026-08-27,100000000604,REM_CUST_604,N,HOUS,DOC_TRACK_NUM_6,DATA_1_604,DATA_2_604,DATA_3_604,DATA_4_604,DATA_5_604,DATA_6_604,DATA_7_604,DATA_8_604,DATA_9_604,C,BATCH_REF_NO_604,TRF,TXN0000000000000604,SAV_,S
TRN000000000605,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-28,2026-08-28,BANK_CODE,005,SECTOR_CO,ROUTING_NO_605,END_POINT,16730.000,L,DOCUMENT_TYPE_605,2026-08-28,2026-08-28,ROUTING_NO_OLD_605,21,2026-08-28,100000000605,REM_CUST_605,N,HOUS,DOC_TRACK_NUM_6,DATA_1_605,DATA_2_605,DATA_3_605,DATA_4_605,DATA_5_605,DATA_6_605,DATA_7_605,DATA_8_605,DATA_9_605,C,BATCH_REF_NO_605,FEE,TXN0000000000000605,SAV_,S
TRN000000000606,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-29,2026-08-29,BANK_CODE,006,SECTOR_CO,ROUTING_NO_606,END_POINT,18519.300,L,DOCUMENT_TYPE_606,2026-08-29,2026-08-29,ROUTING_NO_OLD_606,32,2026-08-29,100000000606,REM_CUST_606,N,HOUS,DOC_TRACK_NUM_6,DATA_1_606,DATA_2_606,DATA_3_606,DATA_4_606,DATA_5_606,DATA_6_606,DATA_7_606,DATA_8_606,DATA_9_606,C,BATCH_REF_NO_606,INT,TXN0000000000000606,SAV_,S
TRN000000000607,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-30,2026-08-30,BANK_CODE,007,SECTOR_CO,ROUTING_NO_607,END_POINT,19838.400,L,DOCUMENT_TYPE_607,2026-08-30,2026-08-30,ROUTING_NO_OLD_607,29,2026-08-30,100000000607,REM_CUST_607,N,HOUS,DOC_TRACK_NUM_6,DATA_1_607,DATA_2_607,DATA_3_607,DATA_4_607,DATA_5_607,DATA_6_607,DATA_7_607,DATA_8_607,DATA_9_607,C,BATCH_REF_NO_607,REV,TXN0000000000000607,SAV_,S
TRN000000000608,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-08-31,2026-08-31,BANK_CODE,008,SECTOR_CO,ROUTING_NO_608,END_POINT,21711.000,L,DOCUMENT_TYPE_608,2026-08-31,2026-08-31,ROUTING_NO_OLD_608,23,2026-08-31,100000000608,REM_CUST_608,N,HOUS,DOC_TRACK_NUM_6,DATA_1_608,DATA_2_608,DATA_3_608,DATA_4_608,DATA_5_608,DATA_6_608,DATA_7_608,DATA_8_608,DATA_9_608,C,BATCH_REF_NO_608,PAY,TXN0000000000000608,SAV_,S
TRN000000000609,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-01,2026-09-01,BANK_CODE,009,SECTOR_CO,ROUTING_NO_609,END_POINT,20497.800,L,DOCUMENT_TYPE_609,2026-09-01,2026-09-01,ROUTING_NO_OLD_609,3,2026-09-01,100000000609,REM_CUST_609,Y,HOUS,DOC_TRACK_NUM_6,DATA_1_609,DATA_2_609,DATA_3_609,DATA_4_609,DATA_5_609,DATA_6_609,DATA_7_609,DATA_8_609,DATA_9_609,C,BATCH_REF_NO_609,ATM,TXN0000000000000609,SAV_,S
TRN000000000610,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-02,2026-09-02,BANK_CODE,010,SECTOR_CO,ROUTING_NO_610,END_POINT,18649.600,L,DOCUMENT_TYPE_610,2026-09-02,2026-09-02,ROUTING_NO_OLD_610,3,2026-09-02,100000000610,REM_CUST_610,N,HOUS,DOC_TRACK_NUM_6,DATA_1_610,DATA_2_610,DATA_3_610,DATA_4_610,DATA_5_610,DATA_6_610,DATA_7_610,DATA_8_610,DATA_9_610,C,BATCH_REF_NO_610,DEP,TXN0000000000000610,SAV_,S
TRN000000000611,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-03,2026-09-03,BANK_CODE,011,SECTOR_CO,ROUTING_NO_611,END_POINT,21199.800,L,DOCUMENT_TYPE_611,2026-09-03,2026-09-03,ROUTING_NO_OLD_611,1,2026-09-03,100000000611,REM_CUST_611,N,HOUS,DOC_TRACK_NUM_6,DATA_1_611,DATA_2_611,DATA_3_611,DATA_4_611,DATA_5_611,DATA_6_611,DATA_7_611,DATA_8_611,DATA_9_611,C,BATCH_REF_NO_611,WDR,TXN0000000000000611,SAV_,S
TRN000000000612,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-04,2026-09-04,BANK_CODE,012,SECTOR_CO,ROUTING_NO_612,END_POINT,5310.400,L,DOCUMENT_TYPE_612,2026-09-04,2026-09-04,ROUTING_NO_OLD_612,2,2026-09-04,100000000612,REM_CUST_612,N,HOUS,DOC_TRACK_NUM_6,DATA_1_612,DATA_2_612,DATA_3_612,DATA_4_612,DATA_5_612,DATA_6_612,DATA_7_612,DATA_8_612,DATA_9_612,C,BATCH_REF_NO_612,TRF,TXN0000000000000612,SAV_,S
TRN000000000613,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-05,2026-09-05,BANK_CODE,013,SECTOR_CO,ROUTING_NO_613,END_POINT,11143.900,L,DOCUMENT_TYPE_613,2026-09-05,2026-09-05,ROUTING_NO_OLD_613,13,2026-09-05,100000000613,REM_CUST_613,N,HOUS,DOC_TRACK_NUM_6,DATA_1_613,DATA_2_613,DATA_3_613,DATA_4_613,DATA_5_613,DATA_6_613,DATA_7_613,DATA_8_613,DATA_9_613,C,BATCH_REF_NO_613,FEE,TXN0000000000000613,SAV_,S
TRN000000000614,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-06,2026-09-06,BANK_CODE,014,SECTOR_CO,ROUTING_NO_614,END_POINT,12702.700,L,DOCUMENT_TYPE_614,2026-09-06,2026-09-06,ROUTING_NO_OLD_614,13,2026-09-06,100000000614,REM_CUST_614,N,HOUS,DOC_TRACK_NUM_6,DATA_1_614,DATA_2_614,DATA_3_614,DATA_4_614,DATA_5_614,DATA_6_614,DATA_7_614,DATA_8_614,DATA_9_614,C,BATCH_REF_NO_614,INT,TXN0000000000000614,SAV_,S
TRN000000000615,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-07,2026-09-07,BANK_CODE,015,SECTOR_CO,ROUTING_NO_615,END_POINT,614.000,L,DOCUMENT_TYPE_615,2026-09-07,2026-09-07,ROUTING_NO_OLD_615,3,2026-09-07,100000000615,REM_CUST_615,N,HOUS,DOC_TRACK_NUM_6,DATA_1_615,DATA_2_615,DATA_3_615,DATA_4_615,DATA_5_615,DATA_6_615,DATA_7_615,DATA_8_615,DATA_9_615,C,BATCH_REF_NO_615,REV,TXN0000000000000615,SAV_,S
TRN000000000616,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-08,2026-09-08,BANK_CODE,016,SECTOR_CO,ROUTING_NO_616,END_POINT,20868.100,L,DOCUMENT_TYPE_616,2026-09-08,2026-09-08,ROUTING_NO_OLD_616,6,2026-09-08,100000000616,REM_CUST_616,N,HOUS,DOC_TRACK_NUM_6,DATA_1_616,DATA_2_616,DATA_3_616,DATA_4_616,DATA_5_616,DATA_6_616,DATA_7_616,DATA_8_616,DATA_9_616,C,BATCH_REF_NO_616,PAY,TXN0000000000000616,SAV_,S
TRN000000000617,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-09,2026-09-09,BANK_CODE,017,SECTOR_CO,ROUTING_NO_617,END_POINT,16123.900,L,DOCUMENT_TYPE_617,2026-09-09,2026-09-09,ROUTING_NO_OLD_617,15,2026-09-09,100000000617,REM_CUST_617,N,HOUS,DOC_TRACK_NUM_6,DATA_1_617,DATA_2_617,DATA_3_617,DATA_4_617,DATA_5_617,DATA_6_617,DATA_7_617,DATA_8_617,DATA_9_617,C,BATCH_REF_NO_617,ATM,TXN0000000000000617,SAV_,S
TRN000000000618,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-10,2026-09-10,BANK_CODE,018,SECTOR_CO,ROUTING_NO_618,END_POINT,18882.200,L,DOCUMENT_TYPE_618,2026-09-10,2026-09-10,ROUTING_NO_OLD_618,15,2026-09-10,100000000618,REM_CUST_618,N,HOUS,DOC_TRACK_NUM_6,DATA_1_618,DATA_2_618,DATA_3_618,DATA_4_618,DATA_5_618,DATA_6_618,DATA_7_618,DATA_8_618,DATA_9_618,C,BATCH_REF_NO_618,DEP,TXN0000000000000618,SAV_,S
TRN000000000619,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-11,2026-09-11,BANK_CODE,019,SECTOR_CO,ROUTING_NO_619,END_POINT,6898.400,L,DOCUMENT_TYPE_619,2026-09-11,2026-09-11,ROUTING_NO_OLD_619,26,2026-09-11,100000000619,REM_CUST_619,N,HOUS,DOC_TRACK_NUM_6,DATA_1_619,DATA_2_619,DATA_3_619,DATA_4_619,DATA_5_619,DATA_6_619,DATA_7_619,DATA_8_619,DATA_9_619,C,BATCH_REF_NO_619,WDR,TXN0000000000000619,SAV_,S
TRN000000000620,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-12,2026-09-12,BANK_CODE,020,SECTOR_CO,ROUTING_NO_620,END_POINT,23549.600,L,DOCUMENT_TYPE_620,2026-09-12,2026-09-12,ROUTING_NO_OLD_620,22,2026-09-12,100000000620,REM_CUST_620,N,HOUS,DOC_TRACK_NUM_6,DATA_1_620,DATA_2_620,DATA_3_620,DATA_4_620,DATA_5_620,DATA_6_620,DATA_7_620,DATA_8_620,DATA_9_620,C,BATCH_REF_NO_620,TRF,TXN0000000000000620,SAV_,S
TRN000000000621,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-13,2026-09-13,BANK_CODE,021,SECTOR_CO,ROUTING_NO_621,END_POINT,8023.700,L,DOCUMENT_TYPE_621,2026-09-13,2026-09-13,ROUTING_NO_OLD_621,18,2026-09-13,100000000621,REM_CUST_621,N,HOUS,DOC_TRACK_NUM_6,DATA_1_621,DATA_2_621,DATA_3_621,DATA_4_621,DATA_5_621,DATA_6_621,DATA_7_621,DATA_8_621,DATA_9_621,C,BATCH_REF_NO_621,FEE,TXN0000000000000621,SAV_,S
TRN000000000622,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-14,2026-09-14,BANK_CODE,022,SECTOR_CO,ROUTING_NO_622,END_POINT,13911.600,L,DOCUMENT_TYPE_622,2026-09-14,2026-09-14,ROUTING_NO_OLD_622,8,2026-09-14,100000000622,REM_CUST_622,N,HOUS,DOC_TRACK_NUM_6,DATA_1_622,DATA_2_622,DATA_3_622,DATA_4_622,DATA_5_622,DATA_6_622,DATA_7_622,DATA_8_622,DATA_9_622,C,BATCH_REF_NO_622,INT,TXN0000000000000622,SAV_,S
TRN000000000623,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-15,2026-09-15,BANK_CODE,023,SECTOR_CO,ROUTING_NO_623,END_POINT,2906.300,L,DOCUMENT_TYPE_623,2026-09-15,2026-09-15,ROUTING_NO_OLD_623,1,2026-09-15,100000000623,REM_CUST_623,N,HOUS,DOC_TRACK_NUM_6,DATA_1_623,DATA_2_623,DATA_3_623,DATA_4_623,DATA_5_623,DATA_6_623,DATA_7_623,DATA_8_623,DATA_9_623,C,BATCH_REF_NO_623,REV,TXN0000000000000623,SAV_,S
TRN000000000624,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-16,2026-09-16,BANK_CODE,024,SECTOR_CO,ROUTING_NO_624,END_POINT,8835.800,L,DOCUMENT_TYPE_624,2026-09-16,2026-09-16,ROUTING_NO_OLD_624,13,2026-09-16,100000000624,REM_CUST_624,N,HOUS,DOC_TRACK_NUM_6,DATA_1_624,DATA_2_624,DATA_3_624,DATA_4_624,DATA_5_624,DATA_6_624,DATA_7_624,DATA_8_624,DATA_9_624,C,BATCH_REF_NO_624,PAY,TXN0000000000000624,SAV_,S
TRN000000000625,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-17,2026-09-17,BANK_CODE,025,SECTOR_CO,ROUTING_NO_625,END_POINT,15774.800,L,DOCUMENT_TYPE_625,2026-09-17,2026-09-17,ROUTING_NO_OLD_625,4,2026-09-17,100000000625,REM_CUST_625,N,HOUS,DOC_TRACK_NUM_6,DATA_1_625,DATA_2_625,DATA_3_625,DATA_4_625,DATA_5_625,DATA_6_625,DATA_7_625,DATA_8_625,DATA_9_625,C,BATCH_REF_NO_625,ATM,TXN0000000000000625,SAV_,S
TRN000000000626,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-18,2026-09-18,BANK_CODE,001,SECTOR_CO,ROUTING_NO_626,END_POINT,5923.100,L,DOCUMENT_TYPE_626,2026-09-18,2026-09-18,ROUTING_NO_OLD_626,27,2026-09-18,100000000626,REM_CUST_626,N,HOUS,DOC_TRACK_NUM_6,DATA_1_626,DATA_2_626,DATA_3_626,DATA_4_626,DATA_5_626,DATA_6_626,DATA_7_626,DATA_8_626,DATA_9_626,C,BATCH_REF_NO_626,DEP,TXN0000000000000626,SAV_,S
TRN000000000627,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-19,2026-09-19,BANK_CODE,002,SECTOR_CO,ROUTING_NO_627,END_POINT,15644.100,L,DOCUMENT_TYPE_627,2026-09-19,2026-09-19,ROUTING_NO_OLD_627,25,2026-09-19,100000000627,REM_CUST_627,N,HOUS,DOC_TRACK_NUM_6,DATA_1_627,DATA_2_627,DATA_3_627,DATA_4_627,DATA_5_627,DATA_6_627,DATA_7_627,DATA_8_627,DATA_9_627,C,BATCH_REF_NO_627,WDR,TXN0000000000000627,SAV_,S
TRN000000000628,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-20,2026-09-20,BANK_CODE,003,SECTOR_CO,ROUTING_NO_628,END_POINT,505.400,L,DOCUMENT_TYPE_628,2026-09-20,2026-09-20,ROUTING_NO_OLD_628,20,2026-09-20,100000000628,REM_CUST_628,Y,HOUS,DOC_TRACK_NUM_6,DATA_1_628,DATA_2_628,DATA_3_628,DATA_4_628,DATA_5_628,DATA_6_628,DATA_7_628,DATA_8_628,DATA_9_628,C,BATCH_REF_NO_628,TRF,TXN0000000000000628,SAV_,S
TRN000000000629,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-21,2026-09-21,BANK_CODE,004,SECTOR_CO,ROUTING_NO_629,END_POINT,14350.400,L,DOCUMENT_TYPE_629,2026-09-21,2026-09-21,ROUTING_NO_OLD_629,25,2026-09-21,100000000629,REM_CUST_629,N,HOUS,DOC_TRACK_NUM_6,DATA_1_629,DATA_2_629,DATA_3_629,DATA_4_629,DATA_5_629,DATA_6_629,DATA_7_629,DATA_8_629,DATA_9_629,C,BATCH_REF_NO_629,FEE,TXN0000000000000629,SAV_,S
TRN000000000630,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-22,2026-09-22,BANK_CODE,005,SECTOR_CO,ROUTING_NO_630,END_POINT,114286.400,L,DOCUMENT_TYPE_630,2026-09-22,2026-09-22,ROUTING_NO_OLD_630,29,2026-09-22,100000000630,REM_CUST_630,N,HOUS,DOC_TRACK_NUM_6,DATA_1_630,DATA_2_630,DATA_3_630,DATA_4_630,DATA_5_630,DATA_6_630,DATA_7_630,DATA_8_630,DATA_9_630,C,BATCH_REF_NO_630,INT,TXN0000000000000630,SAV_,S
TRN000000000631,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-23,2026-09-23,BANK_CODE,006,SECTOR_CO,ROUTING_NO_631,END_POINT,6657.900,L,DOCUMENT_TYPE_631,2026-09-23,2026-09-23,ROUTING_NO_OLD_631,22,2026-09-23,100000000631,REM_CUST_631,N,HOUS,DOC_TRACK_NUM_6,DATA_1_631,DATA_2_631,DATA_3_631,DATA_4_631,DATA_5_631,DATA_6_631,DATA_7_631,DATA_8_631,DATA_9_631,C,BATCH_REF_NO_631,REV,TXN0000000000000631,SAV_,S
TRN000000000632,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-24,2026-09-24,BANK_CODE,007,SECTOR_CO,ROUTING_NO_632,END_POINT,13677.600,L,DOCUMENT_TYPE_632,2026-09-24,2026-09-24,ROUTING_NO_OLD_632,5,2026-09-24,100000000632,REM_CUST_632,N,HOUS,DOC_TRACK_NUM_6,DATA_1_632,DATA_2_632,DATA_3_632,DATA_4_632,DATA_5_632,DATA_6_632,DATA_7_632,DATA_8_632,DATA_9_632,C,BATCH_REF_NO_632,PAY,TXN0000000000000632,SAV_,S
TRN000000000633,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-25,2026-09-25,BANK_CODE,008,SECTOR_CO,ROUTING_NO_633,END_POINT,17285.100,L,DOCUMENT_TYPE_633,2026-09-25,2026-09-25,ROUTING_NO_OLD_633,13,2026-09-25,100000000633,REM_CUST_633,N,HOUS,DOC_TRACK_NUM_6,DATA_1_633,DATA_2_633,DATA_3_633,DATA_4_633,DATA_5_633,DATA_6_633,DATA_7_633,DATA_8_633,DATA_9_633,C,BATCH_REF_NO_633,ATM,TXN0000000000000633,SAV_,S
TRN000000000634,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-26,2026-09-26,BANK_CODE,009,SECTOR_CO,ROUTING_NO_634,END_POINT,15492.900,L,DOCUMENT_TYPE_634,2026-09-26,2026-09-26,ROUTING_NO_OLD_634,23,2026-09-26,100000000634,REM_CUST_634,N,HOUS,DOC_TRACK_NUM_6,DATA_1_634,DATA_2_634,DATA_3_634,DATA_4_634,DATA_5_634,DATA_6_634,DATA_7_634,DATA_8_634,DATA_9_634,C,BATCH_REF_NO_634,DEP,TXN0000000000000634,SAV_,S
TRN000000000635,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-27,2026-09-27,BANK_CODE,010,SECTOR_CO,ROUTING_NO_635,END_POINT,24153.500,L,DOCUMENT_TYPE_635,2026-09-27,2026-09-27,ROUTING_NO_OLD_635,1,2026-09-27,100000000635,REM_CUST_635,N,HOUS,DOC_TRACK_NUM_6,DATA_1_635,DATA_2_635,DATA_3_635,DATA_4_635,DATA_5_635,DATA_6_635,DATA_7_635,DATA_8_635,DATA_9_635,C,BATCH_REF_NO_635,WDR,TXN0000000000000635,SAV_,S
TRN000000000636,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-28,2026-09-28,BANK_CODE,011,SECTOR_CO,ROUTING_NO_636,END_POINT,13042.600,L,DOCUMENT_TYPE_636,2026-09-28,2026-09-28,ROUTING_NO_OLD_636,6,2026-09-28,100000000636,REM_CUST_636,N,HOUS,DOC_TRACK_NUM_6,DATA_1_636,DATA_2_636,DATA_3_636,DATA_4_636,DATA_5_636,DATA_6_636,DATA_7_636,DATA_8_636,DATA_9_636,C,BATCH_REF_NO_636,TRF,TXN0000000000000636,SAV_,S
TRN000000000637,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-29,2026-09-29,BANK_CODE,012,SECTOR_CO,ROUTING_NO_637,END_POINT,11934.700,L,DOCUMENT_TYPE_637,2026-09-29,2026-09-29,ROUTING_NO_OLD_637,4,2026-09-29,100000000637,REM_CUST_637,N,HOUS,DOC_TRACK_NUM_6,DATA_1_637,DATA_2_637,DATA_3_637,DATA_4_637,DATA_5_637,DATA_6_637,DATA_7_637,DATA_8_637,DATA_9_637,C,BATCH_REF_NO_637,FEE,TXN0000000000000637,SAV_,S
TRN000000000638,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-09-30,2026-09-30,BANK_CODE,013,SECTOR_CO,ROUTING_NO_638,END_POINT,23354.000,L,DOCUMENT_TYPE_638,2026-09-30,2026-09-30,ROUTING_NO_OLD_638,28,2026-09-30,100000000638,REM_CUST_638,N,HOUS,DOC_TRACK_NUM_6,DATA_1_638,DATA_2_638,DATA_3_638,DATA_4_638,DATA_5_638,DATA_6_638,DATA_7_638,DATA_8_638,DATA_9_638,C,BATCH_REF_NO_638,INT,TXN0000000000000638,SAV_,S
TRN000000000639,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-10-01,2026-10-01,BANK_CODE,014,SECTOR_CO,ROUTING_NO_639,END_POINT,22918.300,L,DOCUMENT_TYPE_639,2026-10-01,2026-10-01,ROUTING_NO_OLD_639,24,2026-10-01,100000000639,REM_CUST_639,N,HOUS,DOC_TRACK_NUM_6,DATA_1_639,DATA_2_639,DATA_3_639,DATA_4_639,DATA_5_639,DATA_6_639,DATA_7_639,DATA_8_639,DATA_9_639,C,BATCH_REF_NO_639,REV,TXN0000000000000639,SAV_,S
TRN000000000640,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-10-02,2026-10-02,BANK_CODE,015,SECTOR_CO,ROUTING_NO_640,END_POINT,3791.800,L,DOCUMENT_TYPE_640,2026-10-02,2026-10-02,ROUTING_NO_OLD_640,22,2026-10-02,100000000640,REM_CUST_640,N,HOUS,DOC_TRACK_NUM_6,DATA_1_640,DATA_2_640,DATA_3_640,DATA_4_640,DATA_5_640,DATA_6_640,DATA_7_640,DATA_8_640,DATA_9_640,C,BATCH_REF_NO_640,PAY,TXN0000000000000640,SAV_,S
TRN000000000641,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-10-03,2026-10-03,BANK_CODE,016,SECTOR_CO,ROUTING_NO_641,END_POINT,18245.500,L,DOCUMENT_TYPE_641,2026-10-03,2026-10-03,ROUTING_NO_OLD_641,14,2026-10-03,100000000641,REM_CUST_641,N,HOUS,DOC_TRACK_NUM_6,DATA_1_641,DATA_2_641,DATA_3_641,DATA_4_641,DATA_5_641,DATA_6_641,DATA_7_641,DATA_8_641,DATA_9_641,C,BATCH_REF_NO_641,ATM,TXN0000000000000641,SAV_,S
TRN000000000642,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-10-04,2026-10-04,BANK_CODE,017,SECTOR_CO,ROUTING_NO_642,END_POINT,12702.000,L,DOCUMENT_TYPE_642,2026-10-04,2026-10-04,ROUTING_NO_OLD_642,2,2026-10-04,100000000642,REM_CUST_642,N,HOUS,DOC_TRACK_NUM_6,DATA_1_642,DATA_2_642,DATA_3_642,DATA_4_642,DATA_5_642,DATA_6_642,DATA_7_642,DATA_8_642,DATA_9_642,C,BATCH_REF_NO_642,DEP,TXN0000000000000642,SAV_,S
TRN000000000643,EVEN,INSTRUMENT_NO_1_,INSTRUMENT_NO_2_,2026-10-05,2026-10-05,BANK_CODE,018,SECTOR_CO,ROUTING_NO_643,END_POINT,9055.300,L,DOCUMENT_TYPE_643,2026-10-05,2026-10-05,ROUTING_NO_OLD_643,19,2026-10-05,100000000643,REM_CUST_643,N,HOUS,DOC_TRACK_NUM_6,DATA_1_643,DATA_2_643,DATA_3_643,DATA_4_643,DATA_5_643,DATA_6_643,DATA_7_643,DATA_8_643,DATA_9_643,C,BATCH_REF_NO_643,WDR,TXN0000000000000643,SAV_,S
