BRN,ACC,PROD,SC_MAP_DT,GC_MAP_DT,LAST_CALC_DT,LAST_LIQ_DT,NEXT_LIQ_DT,LAST_ACCR_DT,NEXT_ACCR_DT,LAST_SCHD_LIQ_DT,INC_MTH,NEXT_SCHD_LIQ_DT,FIRST_CALC_DT,NEXT_SCHD_ACCR_DT,PROD_TYPE,HAS_ACCR,NEXT_CALC_DT,PROD_ACCR,HAS_PROBLEMS,BKVAL_RECALC_FLAG,BKVAL_MINCALC_DATE,STOP_IC,FIRST_FIRST_CALC_DATE,NEXT_EVENT_DT,CCY,ACLASS,PROCESS,MIS_REFERENCE,DEPOSIT,IMAT_PROBLEMS,DEFER_LIQ_DT,TAX_PRODUCT,HAS_IADJ
013,100000000538,PROD,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22,I,2026-06-22,2026-06-22,2026-06-22,P,1,2026-06-22,1,H,N,2026-06-22,S,2026-06-22,2026-06-22,PEN,ACLASS,61,MIS_REFERENCE_53,D,I,2026-06-22,T,H
014,100000000539,PROD,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23,I,2026-06-23,2026-06-23,2026-06-23,P,1,2026-06-23,1,H,N,2026-06-23,S,2026-06-23,2026-06-23,EUR,ACLASS,72,MIS_REFERENCE_53,D,I,2026-06-23,C,H
015,100000000540,PROD,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24,I,2026-06-24,2026-06-24,2026-06-24,P,1,2026-06-24,1,H,N,2026-06-24,S,2026-06-24,2026-06-24,BRL,ACLASS,45,MIS_REFERENCE_54,D,I,2026-06-24,C,H
016,100000000541,PROD,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,I,2026-06-25,2026-06-25,2026-06-25,P,1,2026-06-25,1,H,Y,2026-06-25,S,2026-06-25,2026-06-25,USD,ACLASS,74,MIS_REFERENCE_54,D,I,2026-06-25,S,H
017,100000000542,PROD,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,2026-06-26,I,2026-06-26,2026-06-26,2026-06-26,P,1,2026-06-26,1,H,N,2026-06-26,S,2026-06-26,2026-06-26,PEN,ACLASS,49,MIS_REFERENCE_54,D,I,2026-06-26,C,H
018,100000000543,PROD,2026-06-27,2026-06-27,2026-06-27,2026-06-27,2026-06-27,2026-06-27,2026-06-27,2026-06-27,I,2026-06-27,2026-06-27,2026-06-27,P,1,2026-06-27,1,H,N,2026-06-27,S,2026-06-27,2026-06-27,EUR,ACLASS,49,MIS_REFERENCE_54,D,I,2026-06-27,L,H
019,100000000544,PROD,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28,2026-06-28,I,2026-06-28,2026-06-28,2026-06-28,P,1,2026-06-28,1,H,N,2026-06-28,S,2026-06-28,2026-06-28,BRL,ACLASS,33,MIS_REFERENCE_54,D,I,2026-06-28,T,H
020,100000000545,PROD,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29,I,2026-06-29,2026-06-29,2026-06-29,P,1,2026-06-29,1,H,N,2026-06-29,S,2026-06-29,2026-06-29,USD,ACLASS,77,MIS_REFERENCE_54,D,I,2026-06-29,C,H
021,100000000546,PROD,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30,I,2026-06-30,2026-06-30,2026-06-30,P,1,2026-06-30,1,H,Y,2026-06-30,S,2026-06-30,2026-06-30,PEN,ACLASS,61,MIS_REFERENCE_54,D,I,2026-06-30,C,H
022,100000000547,PROD,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,I,2026-07-01,2026-07-01,2026-07-01,P,1,2026-07-01,1,H,N,2026-07-01,S,2026-07-01,2026-07-01,EUR,ACLASS,56,MIS_REFERENCE_54,D,I,2026-07-01,S,H
023,100000000548,PROD,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,I,2026-07-02,2026-07-02,2026-07-02,P,1,2026-07-02,1,H,N,2026-07-02,S,2026-07-02,2026-07-02,BRL,ACLASS,47,MIS_REFERENCE_54,D,I,2026-07-02,C,H
024,100000000549,PROD,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03,I,2026-07-03,2026-07-03,2026-07-03,P,1,2026-07-03,1,H,N,2026-07-03,S,2026-07-03,2026-07-03,USD,ACLASS,80,MIS_REFERENCE_54,D,I,2026-07-03,L,H
025,100000000550,PROD,2026-07-04,2026-07-04,2026-07-04,2026-07-04,2026-07-04,2026-07-04,2026-07-04,2026-07-04,I,2026-07-04,2026-07-04,2026-07-04,P,1,2026-07-04,1,H,N,2026-07-04,S,2026-07-04,2026-07-04,PEN,ACLASS,28,MIS_REFERENCE_55,D,I,2026-07-04,T,H
001,100000000551,PROD,2026-07-05,2026-07-05,2026-07-05,2026-07-05,2026-07-05,2026-07-05,2026-07-05,2026-07-05,I,2026-07-05,2026-07-05,2026-07-05,P,1,2026-07-05,1,H,Y,2026-07-05,S,2026-07-05,2026-07-05,EUR,ACLASS,55,MIS_REFERENCE_55,D,I,2026-07-05,C,H
002,100000000552,PROD,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06,I,2026-07-06,2026-07-06,2026-07-06,P,1,2026-07-06,1,H,N,2026-07-06,S,2026-07-06,2026-07-06,BRL,ACLASS,60,MIS_REFERENCE_55,D,I,2026-07-06,C,H
003,100000000553,PROD,2026-07-07,2026-07-07,2026-07-07,2026-07-07,2026-07-07,2026-07-07,2026-07-07,2026-07-07,I,2026-07-07,2026-07-07,2026-07-07,P,1,2026-07-07,1,H,N,2026-07-07,S,2026-07-07,2026-07-07,USD,ACLASS,72,MIS_REFERENCE_55,D,I,2026-07-07,S,H
004,100000000554,PROD,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08,I,2026-07-08,2026-07-08,2026-07-08,P,1,2026-07-08,1,H,N,2026-07-08,S,2026-07-08,2026-07-08,PEN,ACLASS,35,MIS_REFERENCE_55,D,I,2026-07-08,C,H
005,100000000555,PROD,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09,2026-07-09,I,2026-07-09,2026-07-09,2026-07-09,P,1,2026-07-09,1,H,N,2026-07-09,S,2026-07-09,2026-07-09,EUR,ACLASS,14,MIS_REFERENCE_55,D,I,2026-07-09,L,H
006,100000000556,PROD,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10,I,2026-07-10,2026-07-10,2026-07-10,P,1,2026-07-10,1,H,Y,2026-07-10,S,2026-07-10,2026-07-10,BRL,ACLASS,5,MIS_REFERENCE_55,D,I,2026-07-10,T,H
007,100000000557,PROD,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11,2026-07-11,I,2026-07-11,2026-07-11,2026-07-11,P,1,2026-07-11,1,H,N,2026-07-11,S,2026-07-11,2026-07-11,USD,ACLASS,66,MIS_REFERENCE_55,D,I,2026-07-11,C,H
008,100000000558,PROD,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12,2026-07-12,I,2026-07-12,2026-07-12,2026-07-12,P,1,2026-07-12,1,H,N,2026-07-12,S,2026-07-12,2026-07-12,PEN,ACLASS,45,MIS_REFERENCE_55,D,I,2026-07-12,C,H
009,100000000559,PROD,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,I,2026-07-13,2026-07-13,2026-07-13,P,1,2026-07-13,1,H,N,2026-07-13,S,2026-07-13,2026-07-13,EUR,ACLASS,30,MIS_REFERENCE_55,D,I,2026-07-13,S,H
010,100000000560,PROD,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14,I,2026-07-14,2026-07-14,2026-07-14,P,1,2026-07-14,1,H,N,2026-07-14,S,2026-07-14,2026-07-14,BRL,ACLASS,44,MIS_REFERENCE_56,D,I,2026-07-14,C,H
011,100000000561,PROD,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15,I,2026-07-15,2026-07-15,2026-07-15,P,1,2026-07-15,1,H,Y,2026-07-15,S,2026-07-15,2026-07-15,USD,ACLASS,34,MIS_REFERENCE_56,D,I,2026-07-15,L,H
012,100000000562,PROD,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16,I,2026-07-16,2026-07-16,2026-07-16,P,1,2026-07-16,1,H,N,2026-07-16,S,2026-07-16,2026-07-16,PEN,ACLASS,13,MIS_REFERENCE_56,D,I,2026-07-16,T,H
013,100000000563,PROD,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17,I,2026-07-17,2026-07-17,2026-07-17,P,1,2026-07-17,1,H,N,2026-07-17,S,2026-07-17,2026-07-17,EUR,ACLASS,14,MIS_REFERENCE_56,D,I,2026-07-17,C,H
014,100000000564,PROD,2026-07-18,2026-07-18,2026-07-18,2026-07-18,2026-07-18,2026-07-18,2026-07-18,2026-07-18,I,2026-07-18,2026-07-18,2026-07-18,P,1,2026-07-18,1,H,N,2026-07-18,S,2026-07-18,2026-07-18,BRL,ACLASS,70,MIS_REFERENCE_56,D,I,2026-07-18,C,H
015,100000000565,PROD,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19,2026-07-19,I,2026-07-19,2026-07-19,2026-07-19,P,1,2026-07-19,1,H,N,2026-07-19,S,2026-07-19,2026-07-19,USD,ACLASS,33,MIS_REFERENCE_56,D,I,2026-07-19,S,H
016,100000000566,PROD,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20,I,2026-07-20,2026-07-20,2026-07-20,P,1,2026-07-20,1,H,Y,2026-07-20,S,2026-07-20,2026-07-20,PEN,ACLASS,62,MIS_REFERENCE_56,D,I,2026-07-20,C,H
017,100000000567,PROD,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21,I,2026-07-21,2026-07-21,2026-07-21,P,1,2026-07-21,1,H,N,2026-07-21,S,2026-07-21,2026-07-21,EUR,ACLASS,48,MIS_REFERENCE_56,D,I,2026-07-21,L,H
018,100000000568,PROD,2026-07-22,2026-07-22,2026-07-22,2026-07-22,2026-07-22,2026-07-22,2026-07-22,2026-07-22,I,2026-07-22,2026-07-22,2026-07-22,P,1,2026-07-22,1,H,N,2026-07-22,S,2026-07-22,2026-07-22,BRL,ACLASS,66,MIS_REFERENCE_56,D,I,2026-07-22,T,H
019,100000000569,PROD,2026-07-23,2026-07-23,2026-07-23,2026-07-23,2026-07-23,2026-07-23,2026-07-23,2026-07-23,I,2026-07-23,2026-07-23,2026-07-23,P,1,2026-07-23,1,H,N,2026-07-23,S,2026-07-23,2026-07-23,USD,ACLASS,84,MIS_REFERENCE_56,D,I,2026-07-23,C,H
020,100000000570,PROD,2026-07-24,2026-07-24,2026-07-24,2026-07-24,2026-07-24,2026-07-24,2026-07-24,2026-07-24,I,2026-07-24,2026-07-24,2026-07-24,P,1,2026-07-24,1,H,N,2026-07-24,S,2026-07-24,2026-07-24,PEN,ACLASS,49,MIS_REFERENCE_57,D,I,2026-07-24,C,H
021,100000000571,PROD,2026-07-25,2026-07-25,2026-07-25,2026-07-25,2026-07-25,2026-07-25,2026-07-25,2026-07-25,I,2026-07-25,2026-07-25,2026-07-25,P,1,2026-07-25,1,H,Y,2026-07-25,S,2026-07-25,2026-07-25,EUR,ACLASS,32,MIS_REFERENCE_57,D,I,2026-07-25,S,H
022,100000000572,PROD,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26,2026-07-26,I,2026-07-26,2026-07-26,2026-07-26,P,1,2026-07-26,1,H,N,2026-07-26,S,2026-07-26,2026-07-26,BRL,ACLASS,95,MIS_REFERENCE_57,D,I,2026-07-26,C,H
023,100000000573,PROD,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27,I,2026-07-27,2026-07-27,2026-07-27,P,1,2026-07-27,1,H,N,2026-07-27,S,2026-07-27,2026-07-27,USD,ACLASS,94,MIS_REFERENCE_57,D,I,2026-07-27,L,H
024,100000000574,PROD,2026-07-28,2026-07-28,2026-07-28,2026-07-28,2026-07-28,2026-07-28,2026-07-28,2026-07-28,I,2026-07-28,2026-07-28,2026-07-28,P,1,2026-07-28,1,H,N,2026-07-28,S,2026-07-28,2026-07-28,PEN,ACLASS,1,MIS_REFERENCE_57,D,I,2026-07-28,T,H
025,100000000575,PROD,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29,I,2026-07-29,2026-07-29,2026-07-29,P,1,2026-07-29,1,H,N,2026-07-29,S,2026-07-29,2026-07-29,EUR,ACLASS,37,MIS_REFERENCE_57,D,I,2026-07-29,C,H
001,100000000576,PROD,2026-07-30,2026-07-30,2026-07-30,2026-07-30,2026-07-30,2026-07-30,2026-07-30,2026-07-30,I,2026-07-30,2026-07-30,2026-07-30,P,1,2026-07-30,1,H,Y,2026-07-30,S,2026-07-30,2026-07-30,BRL,ACLASS,87,MIS_REFERENCE_57,D,I,2026-07-30,C,H
002,100000000577,PROD,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,2026-07-31,I,2026-07-31,2026-07-31,2026-07-31,P,1,2026-07-31,1,H,N,2026-07-31,S,2026-07-31,2026-07-31,USD,ACLASS,36,MIS_REFERENCE_57,D,I,2026-07-31,S,H
003,100000000578,PROD,2026-08-01,2026-08-01,2026-08-01,2026-08-01,2026-08-01,2026-08-01,2026-08-01,2026-08-01,I,2026-08-01,2026-08-01,2026-08-01,P,1,2026-08-01,1,H,N,2026-08-01,S,2026-08-01,2026-08-01,PEN,ACLASS,48,MIS_REFERENCE_57,D,I,2026-08-01,C,H
004,100000000579,PROD,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02,I,2026-08-02,2026-08-02,2026-08-02,P,1,2026-08-02,1,H,N,2026-08-02,S,2026-08-02,2026-08-02,EUR,ACLASS,24,MIS_REFERENCE_57,D,I,2026-08-02,L,H
005,100000000580,PROD,2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-03,2026-08-03,I,2026-08-03,2026-08-03,2026-08-03,P,1,2026-08-03,1,H,N,2026-08-03,S,2026-08-03,2026-08-03,BRL,ACLASS,63,MIS_REFERENCE_58,D,I,2026-08-03,T,H
006,100000000581,PROD,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-08-04,I,2026-08-04,2026-08-04,2026-08-04,P,1,2026-08-04,1,H,Y,2026-08-04,S,2026-08-04,2026-08-04,USD,ACLASS,57,MIS_REFERENCE_58,D,I,2026-08-04,C,H
007,100000000582,PROD,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05,I,2026-08-05,2026-08-05,2026-08-05,P,1,2026-08-05,1,H,N,2026-08-05,S,2026-08-05,2026-08-05,PEN,ACLASS,87,MIS_REFERENCE_58,D,I,2026-08-05,C,H
008,100000000583,PROD,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06,I,2026-08-06,2026-08-06,2026-08-06,P,1,2026-08-06,1,H,N,2026-08-06,S,2026-08-06,2026-08-06,EUR,ACLASS,90,MIS_REFERENCE_58,D,I,2026-08-06,S,H
009,100000000584,PROD,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07,I,2026-08-07,2026-08-07,2026-08-07,P,1,2026-08-07,1,H,N,2026-08-07,S,2026-08-07,2026-08-07,BRL,ACLASS,68,MIS_REFERENCE_58,D,I,2026-08-07,C,H
010,100000000585,PROD,2026-08-08,2026-08-08,2026-08-08,2026-08-08,2026-08-08,2026-08-08,2026-08-08,2026-08-08,I,2026-08-08,2026-08-08,2026-08-08,P,1,2026-08-08,1,H,N,2026-08-08,S,2026-08-08,2026-08-08,USD,ACLASS,30,MIS_REFERENCE_58,D,I,2026-08-08,L,H
011,100000000586,PROD,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09,I,2026-08-09,2026-08-09,2026-08-09,P,1,2026-08-09,1,H,Y,2026-08-09,S,2026-08-09,2026-08-09,PEN,ACLASS,35,MIS_REFERENCE_58,D,I,2026-08-09,T,H
012,100000000587,PROD,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10,I,2026-08-10,2026-08-10,2026-08-10,P,1,2026-08-10,1,H,N,2026-08-10,S,2026-08-10,2026-08-10,EUR,ACLASS,53,MIS_REFERENCE_58,D,I,2026-08-10,C,H
013,100000000588,PROD,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11,2026-08-11,I,2026-08-11,2026-08-11,2026-08-11,P,1,2026-08-11,1,H,N,2026-08-11,S,2026-08-11,2026-08-11,BRL,ACLASS,8,MIS_REFERENCE_58,D,I,2026-08-11,C,H
014,100000000589,PROD,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12,I,2026-08-12,2026-08-12,2026-08-12,P,1,2026-08-12,1,H,N,2026-08-12,S,2026-08-12,2026-08-12,USD,ACLASS,66,MIS_REFERENCE_58,D,I,2026-08-12,S,H
015,100000000590,PROD,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13,I,2026-08-13,2026-08-13,2026-08-13,P,1,2026-08-13,1,H,N,2026-08-13,S,2026-08-13,2026-08-13,PEN,ACLASS,67,MIS_REFERENCE_59,D,I,2026-08-13,C,H
016,100000000591,PROD,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,2026-08-14,I,2026-08-14,2026-08-14,2026-08-14,P,1,2026-08-14,1,H,Y,2026-08-14,S,2026-08-14,2026-08-14,EUR,ACLASS,6,MIS_REFERENCE_59,D,I,2026-08-14,L,H
017,100000000592,PROD,2026-08-15,2026-08-15,2026-08-15,2026-08-15,2026-08-15,2026-08-15,2026-08-15,2026-08-15,I,2026-08-15,2026-08-15,2026-08-15,P,1,2026-08-15,1,H,N,2026-08-15,S,2026-08-15,2026-08-15,BRL,ACLASS,77,MIS_REFERENCE_59,D,I,2026-08-15,T,H
018,100000000593,PROD,2026-08-16,2026-08-16,2026-08-16,2026-08-16,2026-08-16,2026-08-16,2026-08-16,2026-08-16,I,2026-08-16,2026-08-16,2026-08-16,P,1,2026-08-16,1,H,N,2026-08-16,S,2026-08-16,2026-08-16,USD,ACLASS,0,MIS_REFERENCE_59,D,I,2026-08-16,C,H
019,100000000594,PROD,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,2026-08-17,I,2026-08-17,2026-08-17,2026-08-17,P,1,2026-08-17,1,H,N,2026-08-17,S,2026-08-17,2026-08-17,PEN,ACLASS,25,MIS_REFERENCE_59,D,I,2026-08-17,C,H
020,100000000595,PROD,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18,2026-08-18,I,2026-08-18,2026-08-18,2026-08-18,P,1,2026-08-18,1,H,N,2026-08-18,S,2026-08-18,2026-08-18,EUR,ACLASS,0,MIS_REFERENCE_59,D,I,2026-08-18,S,H
021,100000000596,PROD,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19,I,2026-08-19,2026-08-19,2026-08-19,P,1,2026-08-19,1,H,Y,2026-08-19,S,2026-08-19,2026-08-19,BRL,ACLASS,44,MIS_REFERENCE_59,D,I,2026-08-19,C,H
022,100000000597,PROD,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20,I,2026-08-20,2026-08-20,2026-08-20,P,1,2026-08-20,1,H,N,2026-08-20,S,2026-08-20,2026-08-20,USD,ACLASS,74,MIS_REFERENCE_59,D,I,2026-08-20,L,H
023,100000000598,PROD,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21,I,2026-08-21,2026-08-21,2026-08-21,P,1,2026-08-21,1,H,N,2026-08-21,S,2026-08-21,2026-08-21,PEN,ACLASS,14,MIS_REFERENCE_59,D,I,2026-08-21,T,H
024,100000000599,PROD,2026-08-22,2026-08-22,2026-08-22,2026-08-22,2026-08-22,2026-08-22,2026-08-22,2026-08-22,I,2026-08-22,2026-08-22,2026-08-22,P,1,2026-08-22,1,H,N,2026-08-22,S,2026-08-22,2026-08-22,EUR,ACLASS,90,MIS_REFERENCE_59,D,I,2026-08-22,C,H
025,100000000600,PROD,2026-08-23,2026-08-23,2026-08-23,2026-08-23,2026-08-23,2026-08-23,2026-08-23,2026-08-23,I,2026-08-23,2026-08-23,2026-08-23,P,1,2026-08-23,1,H,N,2026-08-23,S,2026-08-23,2026-08-23,BRL,ACLASS,96,MIS_REFERENCE_60,D,I,2026-08-23,C,H
001,100000000601,PROD,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24,I,2026-08-24,2026-08-24,2026-08-24,P,1,2026-08-24,1,H,Y,2026-08-24,S,2026-08-24,2026-08-24,USD,ACLASS,32,MIS_REFERENCE_60,D,I,2026-08-24,S,H
002,100000000602,PROD,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25,I,2026-08-25,2026-08-25,2026-08-25,P,1,2026-08-25,1,H,N,2026-08-25,S,2026-08-25,2026-08-25,PEN,ACLASS,68,MIS_REFERENCE_60,D,I,2026-08-25,C,H
003,100000000603,PROD,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26,I,2026-08-26,2026-08-26,2026-08-26,P,1,2026-08-26,1,H,N,2026-08-26,S,2026-08-26,2026-08-26,EUR,ACLASS,36,MIS_REFERENCE_60,D,I,2026-08-26,L,H
004,100000000604,PROD,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27,I,2026-08-27,2026-08-27,2026-08-27,P,1,2026-08-27,1,H,N,2026-08-27,S,2026-08-27,2026-08-27,BRL,ACLASS,86,MIS_REFERENCE_60,D,I,2026-08-27,T,H
005,100000000605,PROD,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28,2026-08-28,I,2026-08-28,2026-08-28,2026-08-28,P,1,2026-08-28,1,H,N,2026-08-28,S,2026-08-28,2026-08-28,USD,ACLASS,79,MIS_REFERENCE_60,D,I,2026-08-28,C,H
006,100000000606,PROD,2026-08-29,2026-08-29,2026-08-29,2026-08-29,2026-08-29,2026-08-29,2026-08-29,2026-08-29,I,2026-08-29,2026-08-29,2026-08-29,P,1,2026-08-29,1,H,Y,2026-08-29,S,2026-08-29,2026-08-29,PEN,ACLASS,66,MIS_REFERENCE_60,D,I,2026-08-29,C,H
007,100000000607,PROD,2026-08-30,2026-08-30,2026-08-30,2026-08-30,2026-08-30,2026-08-30,2026-08-30,2026-08-30,I,2026-08-30,2026-08-30,2026-08-30,P,1,2026-08-30,1,H,N,2026-08-30,S,2026-08-30,2026-08-30,EUR,ACLASS,16,MIS_REFERENCE_60,D,I,2026-08-30,S,H
008,100000000608,PROD,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31,I,2026-08-31,2026-08-31,2026-08-31,P,1,2026-08-31,1,H,N,2026-08-31,S,2026-08-31,2026-08-31,BRL,ACLASS,82,MIS_REFERENCE_60,D,I,2026-08-31,C,H
009,100000000609,PROD,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,I,2026-09-01,2026-09-01,2026-09-01,P,1,2026-09-01,1,H,N,2026-09-01,S,2026-09-01,2026-09-01,USD,ACLASS,12,MIS_REFERENCE_60,D,I,2026-09-01,L,H
010,100000000610,PROD,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02,I,2026-09-02,2026-09-02,2026-09-02,P,1,2026-09-02,1,H,N,2026-09-02,S,2026-09-02,2026-09-02,PEN,ACLASS,70,MIS_REFERENCE_61,D,I,2026-09-02,T,H
011,100000000611,PROD,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03,I,2026-09-03,2026-09-03,2026-09-03,P,1,2026-09-03,1,H,Y,2026-09-03,S,2026-09-03,2026-09-03,EUR,ACLASS,73,MIS_REFERENCE_61,D,I,2026-09-03,C,H
012,100000000612,PROD,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04,I,2026-09-04,2026-09-04,2026-09-04,P,1,2026-09-04,1,H,N,2026-09-04,S,2026-09-04,2026-09-04,BRL,ACLASS,99,MIS_REFERENCE_61,D,I,2026-09-04,C,H
013,100000000613,PROD,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05,2026-09-05,I,2026-09-05,2026-09-05,2026-09-05,P,1,2026-09-05,1,H,N,2026-09-05,S,2026-09-05,2026-09-05,USD,ACLASS,46,MIS_REFERENCE_61,D,I,2026-09-05,S,H
014,100000000614,PROD,2026-09-06,2026-09-06,2026-09-06,2026-09-06,2026-09-06,2026-09-06,2026-09-06,2026-09-06,I,2026-09-06,2026-09-06,2026-09-06,P,1,2026-09-06,1,H,N,2026-09-06,S,2026-09-06,2026-09-06,PEN,ACLASS,78,MIS_REFERENCE_61,D,I,2026-09-06,C,H
015,100000000615,PROD,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07,I,2026-09-07,2026-09-07,2026-09-07,P,1,2026-09-07,1,H,N,2026-09-07,S,2026-09-07,2026-09-07,EUR,ACLASS,69,MIS_REFERENCE_61,D,I,2026-09-07,L,H
016,100000000616,PROD,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08,I,2026-09-08,2026-09-08,2026-09-08,P,1,2026-09-08,1,H,Y,2026-09-08,S,2026-09-08,2026-09-08,BRL,ACLASS,48,MIS_REFERENCE_61,D,I,2026-09-08,T,H
017,100000000617,PROD,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09,I,2026-09-09,2026-09-09,2026-09-09,P,1,2026-09-09,1,H,N,2026-09-09,S,2026-09-09,2026-09-09,USD,ACLASS,95,MIS_REFERENCE_61,D,I,2026-09-09,C,H
